,Sample,TSSEnrichment,ReadsInTSS,ReadsInPromoter,ReadsInBlacklist,PromoterRatio,PassQC,NucleosomeRatio,nMultiFrags,nMonoFrags,nFrags,nDiFrags,DoubletScore,DoubletEnrichment,BlacklistRatio,Clusters.res.0.4,Clusters.res.0.8,Clusters.res.1,Clusters.res.1.5,cell_type,donor
GSE96769#SRR5355645,GSE96769,15.375,14154,54207,1447,0.271385086761923,1,0.84304643094412,12205,54188,99871,33478,8.03236603124673,2.6,0.00724434520531486,7,9,9,12,pDC,BM1137
GSE96769#SRR5355762,GSE96769,15.464,12589,46264,4032,0.232882642531386,1,0.321356356090034,3411,75172,99329,20746,149.679180286994,9.6,0.0202961874175719,7,9,9,12,pDC,BM1214
GSE96769#SRR5355592,GSE96769,13.5,13880,52029,2044,0.261976213734001,1,0.768589595169822,10166,56147,99301,32988,15.5134601238647,3.2,0.0102919406652501,7,9,9,12,pDC,BM1137
GSE96769#SRR5355190,GSE96769,10.34,10741,42918,2391,0.216194160672188,1,0.361731901057744,3616,72891,99258,22751,68.9833776317205,6.2,0.0120443692196095,5,1,1,1,MEP,BM1077
GSE96769#SRR5355243,GSE96769,12.283,13572,49759,1944,0.250664960606122,1,0.632896814951303,7676,60784,99254,30794,21.4194777108615,3.6,0.00979305619924638,1,2,2,2,MEP,BM0828
GSE96769#SRR5355244,GSE96769,16.847,15995,57652,2136,0.290479261558305,1,0.595613654269773,7847,62193,99236,29196,13.0254962562359,3,0.0107622233866742,1,2,2,2,MEP,BM0828
GSE96769#SRR5355856,GSE96769,17.556,15648,56834,2206,0.288009162131209,1,0.38961734011239,5258,71003,98667,22406,0,1.6,0.0111790162871071,2,4,4,6,UNK,BM0106
GSE96769#SRR5355199,GSE96769,18.859,16714,58509,1600,0.297365291373159,1,0.623308692495545,7386,60604,98379,30389,0,1.4,0.00813181674950955,1,2,2,2,MEP,BM0828
GSE96769#SRR5354392,GSE96769,11.253,14878,57466,3496,0.292245570495738,1,0.493513595625095,7875,65830,98318,24613,268.131959800412,13.8,0.0177790435118696,5,7,7,7,CMP,BM1077
GSE96769#SRR5354143,GSE96769,15.122,16999,63062,1794,0.32164315369628,1,0.744975880667153,13093,56179,98031,28759,256.783490851897,13.4,0.0091501667839765,3,5,5,9,LMPP,BM0828
GSE96769#SRR5354420,GSE96769,10.171,10601,42496,2453,0.216989032086763,1,0.601891082792128,8388,61129,97922,28405,214.802147132132,12,0.0125252752190519,5,7,7,7,CMP,BM1077
GSE96769#SRR5355305,GSE96769,10.324,9176,39394,2322,0.202003938138409,1,0.571999742051977,9607,62028,97508,25873,123.751826365024,8.6,0.0119067153464331,5,1,1,1,MEP,BM4983
GSE96769#SRR5355858,GSE96769,10.839,10958,41606,2056,0.213987409479921,1,0.389256469982994,4378,69977,97216,22861,27.2595528988383,4,0.0105743910467413,2,4,4,6,UNK,BM0106
GSE96769#SRR5355921,GSE96769,12.318,10413,40925,2143,0.210888385035556,1,1.31029310221672,19423,41999,97030,35608,10.2163264670234,2.8,0.0110429763990518,2,4,4,10,GMP-A,BM1137
GSE96769#SRR5355059,GSE96769,14.903,8414,30772,2145,0.158667629163659,1,0.619838300147,6656,59864,96970,30450,119.09787921549,8.4,0.0110601216871197,3,5,5,9,GMP,BM1214
GSE96769#SRR5354051,GSE96769,16.51,16300,58724,2728,0.30289775833789,1,0.773648772276503,13277,54654,96937,29006,204.072890001178,11.6,0.0140709945634794,3,5,5,9,LMPP,BM0828
GSE96769#SRR5353541,GSE96769,13.518,13783,51136,1888,0.264006773640625,1,0.35494431697353,4654,71476,96846,20716,143.80559302619,9.4,0.00974743407058629,4,6,6,4,HSC,BM0106
GSE96769#SRR5355624,GSE96769,10.557,9303,38258,1816,0.197542210977436,1,0.983754660548203,15632,48814,96835,32389,44.959431197314,5,0.00937677492642123,7,9,9,12,pDC,BM1137
GSE96769#SRR5354818,GSE96769,8.525,5317,21825,2171,0.112840849162935,1,1.17221473495058,13063,44520,96707,39124,0,0,0.0112246269659901,2,4,4,10,GMP,BM1077
GSE96769#SRR5355095,GSE96769,14.033,12366,44851,2588,0.232851891846991,1,0.676525372095047,9424,57445,96308,29439,64.2573145843968,6,0.0134360593097147,2,4,4,10,GMP,BM1214
GSE96769#SRR5353441,GSE96769,7.071,5231,24100,1666,0.126139706267207,1,0.404962202547284,5671,67994,95529,21864,134.156295512094,9,0.00871986517183264,4,6,6,4,HSC,BM1077
GSE96769#SRR5355560,GSE96769,8.042,3850,15825,1979,0.0828794385670891,1,0.508548494137724,9368,63286,95470,22816,30.3340050680883,4.2,0.0103645124122761,8,10,10,13,CLP,BM0828
GSE96769#SRR5355587,GSE96769,14.07,12740,50140,2040,0.262694637131421,1,0.702081364033601,6213,56069,95434,33152,154.620645379027,9.8,0.0106880147536517,7,9,9,12,pDC,BM1137
GSE96769#SRR5355753,GSE96769,13.137,12320,43535,1957,0.228844920573177,1,0.449255709780141,4669,65633,95119,24817,138.958742328041,9.2,0.0102871140361021,7,9,9,12,pDC,BM1214
GSE96769#SRR5355859,GSE96769,5.669,2419,9947,1403,0.0523807517720039,1,0.180854900692726,2252,80407,94949,12290,100.094830670205,7.6,0.00738817681070891,2,4,4,6,UNK,BM0106
GSE96769#SRR5355875,GSE96769,15.866,9174,35751,4568,0.188367387799404,1,1.69196073981618,21122,35252,94897,38523,2.12914665014533,2,0.0240682002592284,2,4,4,6,GMP-A,BM1137
GSE96769#SRR5354308,GSE96769,15.637,13780,52718,2302,0.278113064213214,1,1.13757640000902,15934,44339,94778,34505,187.201044591657,11,0.0121441684779168,5,3,3,3,CMP,BM1137
GSE96769#SRR5355267,GSE96769,14.283,13849,52994,2262,0.280706400830561,1,0.60703462834962,6980,58738,94394,28676,0,0.8,0.0119816937517215,1,2,2,2,MEP,BM0828
GSE96769#SRR5354582,GSE96769,12.679,8740,36731,2524,0.195469155775044,1,0.670952711234416,8219,56229,93956,29508,182.00562819495,10.8,0.0134318191493891,5,7,7,7,CMP,BM1137
GSE96769#SRR5355871,GSE96769,10.963,8847,34770,2498,0.185804672637497,1,1.42927614497871,18348,38516,93566,36702,44.959431197314,5,0.0133488660410833,2,4,4,10,GMP-A,BM1137
GSE96769#SRR5354022,GSE96769,4.442,2391,12748,1952,0.0681237642280767,1,0.834140317174054,14776,51013,93565,27776,0,1.6,0.0104312510019772,6,8,8,5,MPP,BM0828
GSE96769#SRR5355876,GSE96769,13.501,11638,43559,1787,0.233811057434246,1,3.20181334295638,36115,22169,93150,34866,15.5134601238647,3.2,0.00959205582393988,2,4,4,6,GMP-A,BM1137
GSE96769#SRR5356134,GSE96769,14.791,12892,47908,1884,0.257284942483056,1,1.00670316406587,7764,46396,93103,38943,30.3340050680883,4.2,0.0101178264932387,2,4,4,10,GMP-C,BM1137
GSE96769#SRR5355031,GSE96769,14.266,12002,46169,3211,0.247964466786973,1,0.450093457943925,6625,64200,93096,22271,209.420191619733,11.8,0.0172456389103721,3,5,5,9,GMP,BM1214
GSE96769#SRR5355237,GSE96769,14.394,14611,52475,2456,0.282102422398314,1,0.579227085951031,6341,58894,93007,27772,0,1,0.0132033072779468,1,2,2,2,MEP,BM0828
GSE96769#SRR5355887,GSE96769,12.955,10579,42450,2105,0.22841246610133,1,2.129491799414,20971,29693,92924,42260,114.492493919232,8.2,0.0113264603331755,8,10,10,13,GMP-A,BM1137
GSE96769#SRR5355958,GSE96769,17.056,12756,47741,2865,0.25853180405281,1,1.61205725925088,22671,35348,92331,34312,8.03236603124673,2.6,0.0155148325047925,2,4,4,10,GMP-A,BM1137
GSE96769#SRR5354531,GSE96769,16.857,11305,42280,2166,0.2295381007188,1,0.499259307493204,3633,61429,92098,27036,154.620645379027,9.8,0.0117592130122261,5,1,1,1,CMP,BM1137
GSE96769#SRR5356087,GSE96769,12.871,9795,41656,1843,0.226620388000914,1,1.18940873791033,12969,41978,91907,36960,60.393509310075,5.8,0.0100264397706377,2,4,4,10,GMP-C,BM1137
GSE96769#SRR5354478,GSE96769,16.12,15402,55996,1160,0.305245140259259,1,0.234644842578509,2156,74291,91723,15276,134.156295512094,9,0.00632338671870741,5,7,7,7,CMP,BM1214
GSE96769#SRR5355666,GSE96769,12.7,11480,42946,2107,0.235225168972581,1,0.94430363570531,11736,46951,91287,32600,64.2573145843968,6,0.0115405260332797,7,9,9,12,pDC,BM1137
GSE96769#SRR5354474,GSE96769,15.255,13605,48809,3216,0.267458299541898,1,0.295353558297015,2406,70441,91246,18399,109.031695862186,8,0.0176226903097122,5,7,7,7,CMP,BM1214
GSE96769#SRR5354755,GSE96769,18.151,14345,51541,2122,0.282592962179115,1,0.586931175498129,10049,57465,91193,23679,64.2573145843968,6,0.011634664941388,6,8,8,8,CMP,BM0828
