Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Tissue
SRR5353377,ATAC-seq,152,32511280,PRJNA379613,SAMN06613494,10429415,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649602,GSM2540299,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540299,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353378,ATAC-seq,152,16070504,PRJNA379613,SAMN06613493,4583881,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649603,GSM2540300,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540300,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353379,ATAC-seq,152,40371048,PRJNA379613,SAMN06613492,13120308,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649604,GSM2540301,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540301,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353380,ATAC-seq,152,26442072,PRJNA379613,SAMN06613497,8298413,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649605,GSM2540302,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540302,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353381,ATAC-seq,152,22057024,PRJNA379613,SAMN06613496,6372952,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649606,GSM2540303,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540303,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353382,ATAC-seq,152,27007968,PRJNA379613,SAMN06613495,8338237,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649607,GSM2540304,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540304,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353383,ATAC-seq,152,20954720,PRJNA379613,SAMN06613499,6271792,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649608,GSM2540305,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540305,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353384,ATAC-seq,152,49990064,PRJNA379613,SAMN06613490,16875729,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649609,GSM2540306,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540306,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353385,ATAC-seq,152,31509144,PRJNA379613,SAMN06613491,10214370,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649610,GSM2540307,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540307,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353386,ATAC-seq,152,34735344,PRJNA379613,SAMN06613365,11435877,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649611,GSM2540308,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540308,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353387,ATAC-seq,152,19042712,PRJNA379613,SAMN06613498,5657441,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649612,GSM2540309,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540309,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353388,ATAC-seq,152,33395160,PRJNA379613,SAMN06613371,10949461,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649613,GSM2540310,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540310,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353389,ATAC-seq,152,21670184,PRJNA379613,SAMN06613370,7090164,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649614,GSM2540311,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540311,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353390,ATAC-seq,152,26430672,PRJNA379613,SAMN06613369,8695550,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649615,GSM2540312,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540312,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353391,ATAC-seq,152,23088800,PRJNA379613,SAMN06613368,7201156,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649616,GSM2540313,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540313,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353392,ATAC-seq,152,32063488,PRJNA379613,SAMN06613367,10511781,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649617,GSM2540314,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540314,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353393,ATAC-seq,152,51355176,PRJNA379613,SAMN06613366,17404320,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649618,GSM2540315,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540315,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353394,ATAC-seq,152,66125168,PRJNA379613,SAMN06613364,22853122,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649619,GSM2540316,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540316,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353395,ATAC-seq,152,51349856,PRJNA379613,SAMN06613363,17418062,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649620,GSM2540317,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540317,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353396,ATAC-seq,152,23831624,PRJNA379613,SAMN06613362,7687617,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649621,GSM2540318,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540318,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
