Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM2540299,"BM1077-HSC-Frozen-160105-1","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649602",SRX2649602,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540300,"BM1077-HSC-Frozen-160105-2","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649603",SRX2649603,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540301,"BM1077-HSC-Frozen-160105-3","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649604",SRX2649604,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540302,"BM1077-HSC-Frozen-160105-4","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649605",SRX2649605,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540303,"BM1077-HSC-Frozen-160105-5","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649606",SRX2649606,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540304,"BM1077-HSC-Frozen-160105-6","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649607",SRX2649607,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540305,"BM1077-HSC-Frozen-160105-7","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649608",SRX2649608,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540306,"BM1077-HSC-Frozen-160105-8","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649609",SRX2649609,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540307,"BM1077-HSC-Frozen-160105-9","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649610",SRX2649610,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540308,"BM1077-HSC-Frozen-160105-10","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649611",SRX2649611,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540309,"BM1077-HSC-Frozen-160105-11","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649612",SRX2649612,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540310,"BM1077-HSC-Frozen-160105-12","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649613",SRX2649613,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540311,"BM1077-HSC-Frozen-160105-13","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649614",SRX2649614,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540312,"BM1077-HSC-Frozen-160105-14","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649615",SRX2649615,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540313,"BM1077-HSC-Frozen-160105-15","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649616",SRX2649616,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540314,"BM1077-HSC-Frozen-160105-16","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649617",SRX2649617,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540315,"BM1077-HSC-Frozen-160105-17","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649618",SRX2649618,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540316,"BM1077-HSC-Frozen-160105-18","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649619",SRX2649619,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540317,"BM1077-HSC-Frozen-160105-19","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649620",SRX2649620,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540318,"BM1077-HSC-Frozen-160105-20","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649621",SRX2649621,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540319,"BM1077-HSC-Frozen-160105-21","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649622",SRX2649622,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540320,"BM1077-HSC-Frozen-160105-22","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649623",SRX2649623,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540321,"BM1077-HSC-Frozen-160105-23","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649624",SRX2649624,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540322,"BM1077-HSC-Frozen-160105-24","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649625",SRX2649625,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540323,"BM1077-HSC-Frozen-160105-25","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649626",SRX2649626,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540324,"BM1077-HSC-Frozen-160105-26","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649627",SRX2649627,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540325,"BM1077-HSC-Frozen-160105-27","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649628",SRX2649628,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540326,"BM1077-HSC-Frozen-160105-28","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649629",SRX2649629,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540327,"BM1077-HSC-Frozen-160105-29","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649630",SRX2649630,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540328,"BM1077-HSC-Frozen-160105-30","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649631",SRX2649631,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540329,"BM1077-HSC-Frozen-160105-31","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649632",SRX2649632,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540330,"BM1077-HSC-Frozen-160105-32","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649633",SRX2649633,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540331,"BM1077-HSC-Frozen-160105-33","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649634",SRX2649634,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540332,"BM1077-HSC-Frozen-160105-34","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649635",SRX2649635,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540333,"BM1077-HSC-Frozen-160105-35","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649636",SRX2649636,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540334,"BM1077-HSC-Frozen-160105-36","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649637",SRX2649637,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540335,"BM1077-HSC-Frozen-160105-37","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649638",SRX2649638,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540336,"BM1077-HSC-Frozen-160105-38","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649639",SRX2649639,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540337,"BM1077-HSC-Frozen-160105-39","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649640",SRX2649640,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540338,"BM1077-HSC-Frozen-160105-40","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649641",SRX2649641,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540339,"BM1077-HSC-Frozen-160105-41","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649642",SRX2649642,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540340,"BM1077-HSC-Frozen-160105-42","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649643",SRX2649643,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540341,"BM1077-HSC-Frozen-160105-43","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649644",SRX2649644,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540342,"BM1077-HSC-Frozen-160105-44","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649645",SRX2649645,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540343,"BM1077-HSC-Frozen-160105-45","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649646",SRX2649646,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540344,"BM1077-HSC-Frozen-160105-46","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649647",SRX2649647,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540345,"BM1077-HSC-Frozen-160105-47","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649648",SRX2649648,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540346,"BM1077-HSC-Frozen-160105-48","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649649",SRX2649649,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540347,"BM1077-HSC-Frozen-160105-49","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649650",SRX2649650,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540348,"BM1077-HSC-Frozen-160105-50","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649651",SRX2649651,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540349,"BM1077-HSC-Frozen-160105-51","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649652",SRX2649652,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540350,"BM1077-HSC-Frozen-160105-52","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649653",SRX2649653,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540351,"BM1077-HSC-Frozen-160105-53","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649654",SRX2649654,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540352,"BM1077-HSC-Frozen-160105-54","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649655",SRX2649655,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540353,"BM1077-HSC-Frozen-160105-55","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649656",SRX2649656,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540354,"BM1077-HSC-Frozen-160105-56","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649657",SRX2649657,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540355,"BM1077-HSC-Frozen-160105-57","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649658",SRX2649658,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540356,"BM1077-HSC-Frozen-160105-58","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649659",SRX2649659,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540357,"BM1077-HSC-Frozen-160105-59","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649660",SRX2649660,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540358,"BM1077-HSC-Frozen-160105-60","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649661",SRX2649661,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540359,"BM1077-HSC-Frozen-160105-61","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649662",SRX2649662,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540360,"BM1077-HSC-Frozen-160105-62","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649663",SRX2649663,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540361,"BM1077-HSC-Frozen-160105-63","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649664",SRX2649664,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540362,"BM1077-HSC-Frozen-160105-64","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649665",SRX2649665,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540363,"BM1077-HSC-Frozen-160105-65","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649666",SRX2649666,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540364,"BM1077-HSC-Frozen-160105-66","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649667",SRX2649667,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540365,"BM1077-HSC-Frozen-160105-67","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649668",SRX2649668,"Jason Daniel Buenrostro","Apr 26, 2018"
