"Run","TSSEnrichment","ReadsInTSS","ReadsInPromoter","ReadsInBlacklist","PromoterRatio","PassQC","NucleosomeRatio","nMultiFrags","nMonoFrags","nFrags","nDiFrags","DoubletScore","DoubletEnrichment","BlacklistRatio"
"SRR5355030",16.77,27033,97266,3207,0.243558346729969,1,0.546864469148236,20348,129085,199677,50244,68.3134454277262,4.7,0.00803046920777055
"SRR5355896",5.734,10425,49664,3755,0.124484905603625,1,0.310062653514245,3586,152266,199478,43626,77.9290137391847,5,0.00941206549093133
"SRR5354664",17.297,31681,117607,3722,0.295084229489605,1,1.27945735104034,31252,87423,199277,80602,196.271236625556,8.2,0.00933875961601188
"SRR3986165",9.708,7442,27405,3797,0.0690542304377844,1,2.31447517872653,41710,59868,198431,96853,0,1.2,0.00956755748849726
"SRR5355015",12.423,25170,100556,5479,0.255745343194604,1,0.568335567043206,18060,125352,196594,53182,13.6521142302001,2.5,0.0139348098110827
"SRR5355598",8.751,15052,65689,2882,0.167078710556971,1,0.678888034844991,21050,117090,196581,58441,1.56970865191051,1.7,0.00733031167813777
"SRR5355559",5.229,6300,29251,4105,0.0748942554869368,1,1.02673502641329,33760,96353,195282,65169,192.622931314026,8.1,0.0105104413105151
"SRR5355139",10.017,19815,76993,2058,0.197884753778143,1,0.384064827792284,7749,140557,194540,46234,27.8375655190521,3.2,0.00528940063740105
"SRR5354249",12.251,22273,86834,3624,0.224489795918367,1,0.973963277095645,26005,97977,193403,69421,122.318270893836,6.3,0.00936903770882561
"SRR5355940",10.449,13065,51535,3882,0.133312121353221,1,3.55017773488076,65211,42479,193287,85597,54.0179830151353,4.2,0.0100420618044669
"SRR5355935",14.563,17172,65797,4458,0.170575212062136,1,1.69489157165214,38217,71568,192868,83083,323.306215343116,11.6,0.0115571271543232
"SRR5355138",14.091,27447,100577,3981,0.262191020901872,1,0.315615825719538,6792,145788,191801,39221,87.9182538220781,5.3,0.0103779438063409
"SRR5356122",14.819,35337,130550,3857,0.340838480938631,1,1.08352009399682,21975,91918,191513,77620,87.9182538220781,5.3,0.0100698124931467
"SRR5355616",14.647,28226,106975,4457,0.279461323441051,1,1.18430092555608,30073,87623,191395,73699,323.306215343116,11.6,0.0116434598604979
"SRR5355086",16.027,29606,107493,6350,0.282572921705117,1,0.611816348321272,18491,118006,190204,53707,248.24689818293,9.4,0.0166926037307312
"SRR5356035",12.655,22349,85633,4825,0.225194734156976,1,1.06412845231892,21791,92112,190131,76228,0,1.3,0.0126886199515071
"SRR5355212",13.131,16784,65611,2463,0.172856126669652,1,0.749831733650504,18005,108459,189785,63321,0,0.9,0.00648892167452644
"SRR5356012",13.031,17393,65657,2844,0.173500235184686,1,0.434844923030257,10367,131870,189213,46976,122.318270893836,6.3,0.00751533985508395
"SRR5355961",14.444,22028,85121,4784,0.225887004750153,1,0.654577387486279,14424,113875,188415,60116,230.877600485972,9,0.0126953798795213
"SRR5354241",17.734,28211,103510,4080,0.275141810603765,1,0.953789106319332,24980,96276,188103,66847,27.8375655190521,3.2,0.010845122087367
"SRR5354696",14.05,33242,124326,5399,0.331038118669521,1,1.08456739415199,24599,90082,187782,73101,56.5392303735474,4.3,0.0143757122620911
"SRR5354102",11.325,17506,67285,4335,0.179477398944768,1,0.956445047489824,30918,95810,187447,60719,261.984757546508,9.7,0.011563268550577
"SRR5355155",14.548,29556,108521,4567,0.291014357505645,1,0.389418383695369,9352,134195,186453,42906,6.68799462495598,2.1,0.0122470542174167
"SRR5354558",14.43,19136,70844,4067,0.190101539188116,1,0.915773889083095,24823,97262,186332,64247,265.945559479672,9.8,0.0109133160165726
"SRR5354845",8.643,15730,63948,4899,0.172199482981474,1,0.339895221463724,8240,138578,185680,38862,37.4272253319943,3.6,0.0131920508401551
"SRR5355897",10.936,8356,31715,5049,0.0858094470208172,1,4.83293352692381,65885,31682,184799,87232,234.708260288578,9.1,0.0136607882077284
"SRR5354151",7.635,10302,45222,3187,0.12293731615948,1,0.355085170340681,9320,135728,183923,38875,323.306215343116,13.7,0.00866395176242232
"SRR5355582",13.105,23891,91639,3592,0.249576499681353,1,1.1051128871358,22861,87211,183589,73517,160.662521249647,7.3,0.00978272118699922
"SRR5356120",13.194,22061,87827,5202,0.241297550950882,1,1.13951164458447,21969,85061,181989,74959,316.729387210893,10.9,0.0142920725977944
"SRR5354506",9.378,10959,43857,6289,0.121049609998178,1,0.0973183836401413,1495,165087,181153,14571,136.966876329498,6.7,0.0173582551765635
"SRR5354376",13.673,21867,84273,5254,0.233554491336593,1,0.41103872234258,9816,127859,180414,42739,323.306215343116,11,0.0145609542496702
"SRR5354182",10.92,18143,72331,3833,0.201681351773366,1,0.377318637428473,7965,130195,179320,41160,243.388460455689,9.3,0.010687597590899
"SRR5355187",12.455,24763,94086,3981,0.262537251794225,1,0.550682370860125,11253,115553,179186,52380,172.017597862291,7.6,0.0111085687497907
"SRR5354501",7.131,9792,42949,3599,0.11990161975645,1,0.347454821769813,8204,132918,179101,37979,81.4548780243773,5.1,0.0100474034204164
"SRR5355670",13.439,21011,81436,2459,0.227486298193764,1,0.719777474586368,16532,104078,178991,58381,111.262801962222,6,0.00686906045555363
"SRR5356123",14.574,18377,68664,3559,0.192170340434583,1,0.860455913441011,15146,96027,178654,67481,0,0.7,0.0099605942212321
"SRR5355613",12.596,18759,75091,3604,0.211723142336734,1,0.976163412677186,26919,89736,177333,60678,77.9290137391847,5,0.0101616732362279
"SRR5355901",8.335,14020,61832,3609,0.174381941349999,1,1.43887306893374,40920,72693,177289,63676,50.9173770223357,4.1,0.0101782964538127
