"","CS1","CS2","CS3","CS4","CS5","CS6","CS7","CS8","CS9","CS10","CS11","CS12","CS13","CS14","CS15","CS16","CS17","CS18","CS19","CS20","CS21","CS22","CS23","CS24","CS25","CS26","CS27","CS28","CS29","CS30"
"FOXF2",0.0194660812543552,-0.0130197346424594,-0.0181392105143432,0.00382203760334946,0.0139409739100379,-0.00933519711271043,0.0302679695045779,-0.0158385536179281,0.0169513437685698,0.00756797886341903,-0.015945940506035,-0.0143918129571591,0.00743243702375319,-0.0159837509380214,0.00335522086406075,0.0187125070270035,-0.013265626989665,0.00880852629744045,0.00101072235656343,-0.0141386122889034,0.002202297689746,-0.0259527339976526,-0.00736734511610496,0.0234033250748291,-0.00111632411846432,0.00216086824793051,0.000157131170364125,-0.000695874170902018,0.0131289436972907,0.0290581052264754
"FOXD1",0.00124103,0.000210941,0.0031432,-0.00793312,0.00593839,-0.0011419,0.0183847,-0.00748451,0.000353289,0.00115855,-0.0082998,-0.00107287,0.0109744,0.00661353,-0.00825373,0.00789512,-0.000666747,0.0108582,-0.00964311,-0.00698872,0.0053187,0.00226547,0.00206247,0.0142822,5.11562e-05,0.0120396,-0.000358579,0.0160983,0.00560822,-0.000483444
"IRF2",0.00194413911961053,0.00576007565147364,-0.0203412032606711,0.0207001377423351,0.00093597563674586,-0.00417156382604178,-0.00913348720907135,-0.0168643707188857,0.00683525012112412,0.00417259197972679,0.00860833883984224,-0.0045029244922214,-0.0103551598902207,-0.00845401930346044,-0.00333591548618148,0.00659602076895041,-0.0157940422300187,0.00333391978259172,0.00534234630686136,-0.0026522581105888,-0.0227234202431214,0.0022823835912982,-0.00417424727700853,0.00519496840586351,-0.00152461924987847,-0.00450578643790413,0.01999505346304,0.0266187511643546,0.01404945236359,-0.00131908198139326
"MZF1(var.2)",-0.00860801688659881,0.00672020124879456,-0.00740929939463665,-0.00513643131086166,0.0025069645653725,-0.000635651099372394,0.00407786363375436,-0.011369014069304,0.00580336324781875,-0.00257734875933914,0.00965842914474364,0.0106180430271637,0.00732267202819663,-0.0131673331407705,0.00713066842267493,-0.00276635072081132,-0.00182049509530604,0.0108867014279257,-0.00158031796067342,-0.00254853378475415,0.0062833179906977,-0.00644104662013869,-0.00108023390065917,-0.0128555466749,0.00102519048069517,-0.00912042529639929,-0.00384194272530621,0.00196171843525143,-0.00333008707065346,0.00359386570694028
"MAX::MYC",-0.00657027,-0.002112405,-0.003985493,0.0084829745,0.010313407,-0.0021526734,0.01041781,-0.01799306,-0.01839483,0.0075583705,-0.018362775,-0.013912685,-0.003757665,-0.00663183,0.011333975,0.000799245,0.016417145,0.0183509435,0.02244845,0.003272885,-0.007319265,0.00964309,-0.00908829,0.01433387,0.00987551,0.007288025,-0.01424465,0.006725675,-0.002474765,0.005952428
"PPARG",-0.00273789227937957,-0.00474053166746337,-0.00768293331133814,0.00218868916209893,0.00684785379922871,0.0199019840567281,-0.00160421515549121,0.010421943034263,0.0101779276444425,-0.0145147978774107,-0.0045352978645119,-0.0219364818185318,-0.000989815350647241,-0.00538123896116362,0.0171528602077754,-0.00717556179995544,0.00476290272637714,0.0055041791071037,-0.0061574578487011,0.0116529142952192,0.00306109813916866,0.0020078574528297,-0.0066679894871017,0.00870544907060315,-0.00239528003908046,0.0165299776501806,-0.0204130409962145,0.00341006605111108,-0.00130600555649955,0.000209765426204532
"PAX6",0.00080528732654873,0.00410605106933831,-0.0189108516324868,0.00161681106690211,0.0128102546366545,0.0144038620865941,-0.00320893198256937,-0.0154655087304995,-0.0208782094405438,0.0147719854986196,-0.0152927562884659,-0.00664505765393564,0.0207564784227218,0.00887344925496925,0.00454508704189637,0.00931176255945491,0.0183686270122058,-0.00874218068163525,0.000543429760003206,-0.00901316760206184,-0.000323556487119548,0.017108025161211,-0.000608912104952055,0.00443310864137134,0.00728224112350431,-0.0291950795514939,-0.00108131478118737,0.0288272898820981,0.00735805928493207,0.0200416731452601
"PBX1",-0.0158625097076251,0.0160922343873615,-0.000511111474024992,-0.00362065468557552,-0.0106126827264589,-0.00217574780773876,-0.00651154622601422,0.00362415681524188,0.0141183409080876,-0.0225530308145584,0.00659420918700643,0.00266986740120273,-0.00144267975413118,0.0160839172877978,0.0114486501562551,-0.00774175032878741,-0.0131837405198039,-0.00214210884829884,-0.012582282955216,0.000717603407475188,-0.024361084076213,0.00279032214708266,-0.0026870828885615,-0.000250555889014807,0.00246407625145668,-0.00362309647180695,0.00777557309301507,0.0110929051574427,-0.0230402879153994,-0.00699335626526205
"RORA",-0.00578614088928882,-0.00627292222175067,0.00346369169644663,-0.0176560929196552,0.0141183906922012,-0.000227425199237024,-0.0225989964202845,-0.00372004098946952,0.00177875844434632,0.0087517929230244,0.00896183295095559,-0.0030831647528259,0.0149222239249885,-0.00626482871205757,-0.00178703187370381,0.0100167846833269,0.000105412612148642,0.00102485446283851,-0.00907443934745833,-0.0172240674867233,0.00816532051958158,0.00703612154259243,0.00858633010937735,0.00117173237132035,-0.00707244495742823,0.000527998368179297,0.0112199941913235,-0.00695331450288364,-0.0134465743719668,0.00382316383045055
"RORA(var.2)",-0.00490893076219397,0.00674294289315557,0.000647735481726144,0.00177453072795071,0.00382821694451869,0.00101924999100347,-0.00113247227260917,-0.0124815275955442,0.0139520974044785,-0.00608511840575139,-0.00185839083947069,-0.00517180127352716,-0.000123227757135198,-0.00110320232585486,0.0110096175245886,-0.0062148925075591,-0.00308523706134553,0.00773324382924231,0.00168869990966847,-0.0128961742765879,0.0189106964780707,-0.0114521258567602,0.00749866773835859,-0.00184726621113661,-0.00660888267422392,-0.0024037697622612,0.00358474356994033,0.0148180778881386,0.00273805552687607,-0.00479852733962798
