,SRR3986201,SRR5355290,SRR5355456,SRR5355765,SRR5355834,SRR5356155
SRR5355030,0.5179634953253777,0.011525299492519297,0.0261073186887607,0.1014829323512634,0.16716104719686464,0.17575990694521842
SRR5355896,0.3198734177338842,0.023882311142414958,0.04100879363571614,0.11362953701188673,0.30690276793816657,0.19470317253793568
SRR5354664,0.09137779526750989,0.5997824091712483,0.12055739689184683,0.03952619909300011,0.09034920615286848,0.05840699342357175
SRR3986165,0.9999999999996652,0.0,0.0,0.0,0.0,0.0
SRR5355015,0.41636866515442056,0.013947741124764964,0.031609113423979214,0.12294003712349295,0.20220652764874797,0.21292791552459892
SRR5355598,0.0,0.0,0.0,0.9793078047508763,0.0,0.0
SRR5355559,0.12669946205193508,0.12910929214538003,0.4689348815709592,0.07030234369933729,0.11854342319769519,0.08641059733470301
SRR5355139,0.023466145446829133,0.8965074404120886,0.031664409555840003,0.010183433000852697,0.02316770325363991,0.01501086833079627
SRR5354249,0.12047348256864654,0.4780534886320749,0.1533314620264875,0.05185064473204626,0.11937943253784657,0.07691148950293492
SRR5355940,0.33291712067803314,0.01959695217452412,0.03816330303449536,0.11833836454478672,0.2872061966592281,0.20377806290893716
SRR5355935,0.32558843113416847,0.028658767332147922,0.05203816078679677,0.11754570800918043,0.2758530167569438,0.20031591598076787
SRR5355138,0.023471596998418658,0.8964833062278879,0.03167185556899525,0.010185802967340485,0.023173081153349363,0.015014357084054634
SRR5356122,0.14577583838588148,0.038950441239492456,0.15996989356351865,0.3491679803868548,0.1063269870238517,0.19980885940040458
SRR5355616,0.0,0.0,0.0,0.9958610408269669,0.0,0.0
SRR5355086,0.3246575331655981,0.023830987397824733,0.04425956457091647,0.11613690984303604,0.29204098212016516,0.1990740229024645
SRR5356035,0.3693571264582515,0.015693226586327158,0.03476310562693368,0.13035613036616642,0.2264098102181275,0.22342060074419834
SRR5355212,0.011875766109399418,0.947626552062967,0.016022631268954327,0.0,0.011724832072256644,0.0
SRR5356012,0.2592493269056982,0.08874752198521545,0.13318625009362703,0.11887950868104202,0.231500635840647,0.1684367564937792
SRR5355961,0.289718129313993,0.02002904847787912,0.03623762401468919,0.10315294840083834,0.3736024811274956,0.17725976866510912
SRR5354241,0.09557502693318856,0.5821219561308795,0.1253827319065258,0.04130842418115282,0.09453394595606171,0.061077914892235824
SRR5354696,0.13026232527843756,0.41178858853702066,0.1893699133811628,0.0571783673844689,0.12784219316852555,0.08355861225041483
SRR5354102,0.2358238578964458,0.12439196797282498,0.16936839656552286,0.09855813999053814,0.2222052337414877,0.149652403833191
SRR5355155,0.028830023116873556,0.8729188875896822,0.03883554403809699,0.012508042131353921,0.028466568380680356,0.018440934743381893
SRR5354558,0.209671281070192,0.2188447637367928,0.139700299512221,0.08393440051652415,0.2162631684048166,0.13158608675947187
