"","UMAP_1","UMAP_2"
"SRR3986024",-0.13870725334405,-1.71966250134384
"SRR3986025",-2.02638188303231,-0.753245069512476
"SRR3986026",0.0958293944525812,-1.51715691281234
"SRR3986027",-0.147509071238032,-1.77906973553573
"SRR3986029",-0.75135007799386,-1.48932607365524
"SRR3986031",-0.762647810585489,-1.35777456952011
"SRR3986032",-2.76973709762811,-1.09507329655563
"SRR3986034",-2.55433830917596,-0.774276568421472
"SRR3986035",2.30427875816108,-1.22500140858566
"SRR3986036",-1.89517900646447,-0.336341096886743
"SRR3986037",-1.54461223185777,-1.00417049122726
"SRR3986038",-1.65797356069802,-0.39470215035354
"SRR3986039",-2.01051453054666,-0.758920742997278
"SRR3986041",-1.75357297361611,-0.620065404900659
"SRR3986042",-2.14629969299554,-0.708085133561243
"SRR3986043",-1.97780761421441,-0.797786070832361
"SRR3986044",0.163227227323065,0.0691887597950804
"SRR3986046",-2.44979068935632,-0.641012861260523
"SRR3986047",-2.59149012268304,-1.07683785153304
"SRR3986048",-2.10336295068978,-0.688410236367334
"SRR3986050",-2.84843406379937,-0.82140429211532
"SRR3986051",-2.00636622608422,-1.19875080777084
"SRR3986052",-1.97208383978127,-0.819523527154077
"SRR3986053",-0.902768421180239,-0.310186340340723
"SRR3986054",-1.746012184031,-0.563947631844629
"SRR3986056",-2.5289004772973,-0.893880202302088
"SRR3986057",-0.499366077787867,-2.31637413693343
"SRR3986058",-0.461901220686426,-1.68873627377426
"SRR3986059",-0.514515075094691,-1.82521684361373
"SRR3986060",-2.1916954249215,-1.20686299992477
"SRR3986061",-1.91422257126092,-1.02108247471725
"SRR3986062",-1.55752525032281,-0.903592659958948
"SRR3986063",-1.70977422893762,-0.51638765526687
"SRR3986064",-2.38139340580224,-1.23450548840438
"SRR3986065",-2.54882332981347,-1.27863557530319
"SRR3986066",-0.774831059582224,-1.53919489575302
"SRR3986067",-2.386268708117,-0.67192931366836
"SRR3986068",-2.2422724694085,-0.772809340485681
"SRR3986069",-1.71359333694695,-0.982906891831506
"SRR3986070",-1.82654986084222,-1.26676757527267
"SRR3986071",-2.16811475456475,-0.55383403492843
"SRR3986072",-1.88558253944634,-0.559266521462549
"SRR3986073",-1.40753445327996,-1.28570945454513
"SRR3986074",-2.06741419733285,-1.36371023846542
"SRR3986075",-1.79763582647561,-1.21809585286056
"SRR3986077",-2.21442088783502,-0.839037849434961
"SRR3986078",-2.13182154596566,-1.1734553117839
"SRR3986079",-2.71939310730218,-0.936621977814783
"SRR3986080",-1.23418242783069,-1.30908496571456
"SRR3986081",-1.76685718000649,-1.18030531598007
"SRR3986082",-2.28122052849053,-0.998424126633753
"SRR3986083",-1.9264201253724,-0.717031194695581
"SRR3986084",-2.047430548079,-0.874006344803919
"SRR3986085",-2.28319475353478,-0.883369161614526
"SRR3986086",-2.49914774597405,-1.05112726879989
"SRR3986087",-2.28465101421594,-1.1069851656047
"SRR3986088",-1.8660244673562,-1.08062131596481
"SRR3986089",0.318687823407659,-0.0613297958460939
"SRR3986090",-2.61819562614678,-1.21531779957687
"SRR3986091",-2.32751426399468,-0.972321822175134
"SRR3986092",-2.62180206478356,-1.25812275601303
"SRR3986093",-0.826273861534586,-1.24083621693527
"SRR3986094",-1.82853678167581,-1.03923065853988
"SRR3986095",-2.44848320186852,-1.13023312283431
"SRR3986096",-2.21310243309259,-0.994703604706873
"SRR3986097",-1.55266565383195,-1.0924371023265
"SRR3986098",-1.4797420829606,-1.07530076695358
"SRR3986099",-2.55595740974664,-1.04671724034225
"SRR3986100",-2.08291849792718,-0.811979486474146
"SRR3986101",-2.06450537145852,-0.632934405335535
"SRR3986102",2.51447024642707,-0.613940670022119
"SRR3986103",-1.90007332266091,-1.23058278752242
"SRR3986105",-2.31237659157037,-1.21484191609298
"SRR3986106",-1.74793944061517,-0.861283494958032
"SRR3986107",-1.53703746498345,-0.390571429261316
"SRR3986108",-2.71190950573205,-0.723416997918237
"SRR3986109",-2.45108887851953,-1.40794379902755
"SRR3986110",-2.28479084671258,-0.589208199509729
"SRR3986111",-2.63279280365228,-1.36269362164413
"SRR3986114",-1.49084008038758,-0.992054774293054
"SRR3986115",2.10858216583014,-0.596222474106897
"SRR3986120",-2.12917813957452,-0.879879428872217
"SRR3986122",7.34793463050605,-3.56484968853866
"SRR3986123",7.09968653022529,-3.68664105130111
"SRR3986125",6.89062681495429,-3.73105938626205
"SRR3986126",6.07382479011298,-4.0180495519725
"SRR3986128",7.36994829475165,-3.10539992047225
"SRR3986130",5.9260682135749,-3.98721964550887
"SRR3986131",5.99453583060981,-4.04488642407333
"SRR3986132",7.0013741522956,-3.53947384549056
"SRR3986133",7.28050985633613,-3.06488402081405
"SRR3986134",7.38835516273261,-3.06670696926986
"SRR3986135",7.23371305763007,-3.30953343106185
"SRR3986137",6.4810933142829,-3.77187378598129
"SRR3986138",7.28910341560126,-3.4573224325267
"SRR3986139",0.161413815610418,-3.08888514233505
"SRR3986140",7.39519968330146,-3.31857092572128
"SRR3986141",7.21081819831611,-3.1430643339244
"SRR3986142",6.85559788047553,-3.5818751592723
"SRR3986143",6.34082594215156,-3.79996569348251
"SRR3986144",6.84506264030219,-3.44692118359481
"SRR3986145",7.47367658912421,-3.20761616421615
"SRR3986148",7.17560186683417,-3.50249035550033
"SRR3986149",7.13129892646552,-3.17423088742172
"SRR3986150",6.62732115089179,-3.70936949444686
"SRR3986152",7.01774874030829,-3.29728777600204
"SRR3986156",6.99598779975654,-3.74753458691512
"SRR3986157",7.479773429029,-3.45806629849349
"SRR3986158",7.39685812293769,-3.0836537618724
"SRR3986159",7.32784357368232,-3.71570856762802
"SRR3986161",6.20399513541938,-3.95007832241927
"SRR3986163",7.20188799201728,-3.22538025570785
"SRR3986164",6.37919607459784,-3.86829312039291
"SRR3986165",6.86228933631659,-3.72847731305038
"SRR3986166",6.77169647514106,-3.37206728650009
"SRR3986167",6.55035772620917,-3.7629922170726
"SRR3986168",7.00396147071601,-3.50018341732894
"SRR3986169",6.00991001426459,-4.0789397497264
"SRR3986170",7.46849146186591,-3.39068968487655
"SRR3986171",7.33467378913642,-3.57131941510116
"SRR3986172",7.37296476661445,-3.55092699719344
"SRR3986173",7.18311872779609,-3.33290846539413
"SRR3986174",7.10466375648261,-3.34286911679183
"SRR3986175",7.41760721503974,-3.4546778936473
"SRR3986176",6.88942232429267,-3.51386053753768
"SRR3986177",6.7584952384162,-3.593366934785
"SRR3986178",6.37010278999091,-3.94555504513656
"SRR3986179",7.05835237800361,-3.32923062039291
"SRR3986180",6.71068468391181,-3.70550806713973
"SRR3986181",7.22950163184882,-3.20523960781967
"SRR3986182",6.63593092262031,-3.63302881909286
"SRR3986183",7.25016107856513,-3.25476343823348
"SRR3986184",6.60537424384833,-3.90135653210555
"SRR3986186",7.49559011756659,-3.32703097058212
"SRR3986188",7.09910288154365,-3.33035023404037
"SRR3986189",6.95759287177802,-3.52359945965682
"SRR3986190",6.5142029791999,-3.74795420361434
"SRR3986192",6.15033617316962,-4.05689890576278
"SRR3986193",7.1783875495124,-3.58623249722396
"SRR3986194",7.30061426460029,-3.33684570980941
"SRR3986195",7.06854334174872,-3.24053986264144
"SRR3986196",7.27776327430488,-3.24306137753402
"SRR3986198",7.48616304694892,-3.2237118024913
"SRR3986199",7.33822527229072,-3.13957054806625
"SRR3986201",7.14494791328193,-3.24479754162704
"SRR3986202",7.06652155219794,-3.3933575887767
"SRR3986203",7.22620287238837,-3.41694576931869
"SRR3986204",6.1830991774726,-3.97348864270126
"SRR3986205",7.48005571662665,-3.18823225689803
"SRR3986206",7.56633749305488,-3.17453558636581
"SRR3986207",7.3063754111457,-3.55474550915634
"SRR3986208",7.23412885963202,-3.44073374462997
"SRR3986209",6.09764614402533,-3.98597605420028
"SRR3986210",7.56945314704658,-3.38211329174911
"SRR3986211",7.30838861762763,-3.21622116757308
"SRR3986212",-0.316416117556086,-3.73398764325057
"SRR3986215",6.42449083625556,-3.89958269787704
"SRR3986216",6.96684828101874,-3.15116770459091
"SRR5353377",-3.64940843284844,-0.0351787347880494
"SRR5353378",-3.28712496460198,0.25173042821015
"SRR5353379",-3.33727130592584,0.317784593573462
"SRR5353380",-3.85344729126214,0.351340101233374
"SRR5353381",-3.2385168999505,-0.134637906083215
"SRR5353382",-3.99899396599053,0.960153714886557
"SRR5353383",-4.64947662056207,0.328026638499151
"SRR5353384",-3.70534119308709,0.21867983149613
"SRR5353385",-3.96731028259515,0.060679243079077
"SRR5353386",-4.86172303856134,0.0609413843067992
"SRR5353387",-4.28578481376885,0.710000620356451
"SRR5353388",-2.66799316108941,-0.21665735436355
"SRR5353389",-4.10451349914788,0.837384075990568
"SRR5353390",-4.03386029899835,0.020683453551184
"SRR5353391",-3.64405569732904,0.590324984064947
"SRR5353392",-3.82845601738214,1.25617867814625
"SRR5353393",-3.46886548698663,0.508218393793951
"SRR5353395",-2.90977630317925,0.363214598170172
"SRR5353396",-4.85602006614923,0.649310992232214
"SRR5353397",-3.81744656265496,0.219031022063147
"SRR5353398",-2.51951894462823,-0.10321421814834
"SRR5353400",-2.89392850101708,-0.0575539608088624
"SRR5353401",-3.92938074768304,0.473251150122534
"SRR5353402",-4.95203790367364,0.517023370734106
"SRR5353403",-3.46435389221429,0.176517293921362
"SRR5353407",-4.36201033294915,0.068025753966223
"SRR5353408",-3.77092513740777,0.642259136906515
"SRR5353409",-3.38703069389581,0.883387298456084
"SRR5353410",-3.67729363144158,0.752992437353979
"SRR5353412",-3.13256916702508,0.562349663248907
"SRR5353413",-3.63098749817132,0.808992372027289
"SRR5353414",-3.38006577194451,-0.0171466608134401
"SRR5353415",-4.31074318588494,0.297004149428259
"SRR5353416",-3.63941178024529,0.151083157530676
"SRR5353417",-2.75328693092584,0.453416214457403
"SRR5353418",-3.66213092506646,0.91385029362763
"SRR5353419",-4.08605775535821,0.252503202429663
"SRR5353420",-4.69332990349053,0.0776405196102965
"SRR5353422",-3.87713417709588,1.33986584948624
"SRR5353423",-4.18345889747857,0.545135901442419
"SRR5353424",-3.07677170933007,0.44947908925141
"SRR5353425",-4.57095942199945,0.0309249620350707
"SRR5353426",-3.86899957359551,0.479357884398352
"SRR5353427",-3.45646271408319,0.208940730563055
"SRR5353429",-4.80779561699151,0.167333887091528
"SRR5353430",-3.61188564003228,-0.0202033062068117
"SRR5353431",-4.12717351616143,0.352584109774481
"SRR5353432",-3.81615528763055,0.671949104538809
"SRR5353433",-3.48849258125543,0.422466264239203
"SRR5353434",-4.46722135246514,0.450862989893805
"SRR5353435",-4.35369476974725,-0.0717525024500978
"SRR5353436",-3.77083787620782,0.344479666224371
"SRR5353438",-4.48624167145013,0.309376881590735
"SRR5353439",-4.27966222465753,0.245603189936529
"SRR5353440",-3.48875102699517,0.311254904738318
"SRR5353441",-3.56877193153619,0.292037890425574
"SRR5353442",-3.93753585518121,0.141596482268225
"SRR5353444",-4.33890924156426,0.160646841994177
"SRR5353445",-4.63599238098382,0.147066579333197
"SRR5353447",-3.85317597091912,0.341531858912359
"SRR5353448",-2.84520492256402,-0.102295472153772
"SRR5353449",-3.56009349525689,0.381643162241827
"SRR5353450",-4.4730664223504,0.359223888388525
"SRR5353451",-3.58677611053704,0.984253936580073
"SRR5353453",-2.71264085472344,-0.509246065148462
"SRR5353454",-3.79698714912652,0.738649026623617
"SRR5353455",-3.74913248718499,-0.232176019677271
"SRR5353456",-4.71864328087091,0.24219708251084
"SRR5353457",-4.55936488807916,0.509756014815222
"SRR5353458",-4.14492616356134,0.217937813273321
"SRR5353459",-3.49933538139581,0.218559608927618
"SRR5353460",-3.38816556633233,-0.166612936982263
"SRR5353461",-2.84125837982415,-0.53774733735
"SRR5353463",-3.61889514625787,0.78596903490151
"SRR5353465",-3.23262867630242,0.794913009873282
"SRR5353466",-2.82569679916619,1.69499139594163
"SRR5353467",-4.88104161918878,0.597632066479574
"SRR5353468",-3.74659475982904,0.118500755301367
"SRR5353471",-4.7074984043908,0.066263959875952
"SRR5353473",-3.14961871803521,1.72019277619446
"SRR5353474",-2.68799218834161,1.44683016943062
"SRR5353475",-3.5546127289605,1.6900324087056
"SRR5353476",-2.87457260788201,1.54048378872002
"SRR5353477",-2.57937798202752,1.52574198054398
"SRR5353478",-3.20106348694085,1.36755807804192
"SRR5353480",-3.61619958580255,1.33229105280961
"SRR5353481",-4.22129568756341,1.55494986580933
"SRR5353483",-0.940115678317538,-1.60278947544967
"SRR5353484",-3.81951627434014,1.51150591777886
"SRR5353490",-4.58174953163384,1.27140110837544
"SRR5353494",-3.11786887348413,1.33363174008454
"SRR5353497",-4.69061693847894,0.703370080462347
"SRR5353498",-3.81010994613885,1.63619016217316
"SRR5353499",-4.20602569282769,1.05438548619176
"SRR5353500",-4.16532978714227,1.01807615267361
"SRR5353502",-4.66629848182916,0.884534136525046
"SRR5353503",-3.22286996544122,1.71300695942963
"SRR5353504",-2.226077052958,0.747086809149634
"SRR5353505",-3.38708314598321,0.957079255154978
"SRR5353506",-2.35880241096734,0.821219490042578
"SRR5353507",-4.74659475982904,1.19646860020484
"SRR5353509",-4.39560351074456,1.58375816153611
"SRR5353510",-4.69251403511285,0.906106905213248
"SRR5353511",-3.71905955971002,1.61095057534302
"SRR5353512",-4.70753321350335,1.21056041227902
"SRR5353514",-2.98201188743829,1.48170022772874
"SRR5353515",-4.14794192016839,1.23636503624047
"SRR5353516",-3.60528812111138,1.81875996398057
"SRR5353517",-2.98192021549462,1.83484397934998
"SRR5353518",-2.57691368759393,0.765448765030752
"SRR5353519",-3.93010124862908,0.846527652016531
"SRR5353521",-3.84026918113946,1.54561360286797
"SRR5353524",-4.25224098861932,1.47262869881714
"SRR5353525",-3.0145703286004,1.63888113307084
"SRR5353526",-4.24476084411859,1.53658907221879
"SRR5353527",-4.04209384620904,0.976245218089472
"SRR5353528",-4.36792001426934,1.38098733233536
"SRR5353529",-2.96885034740686,1.48030604528512
"SRR5353530",-2.57223269642114,0.589124576321493
"SRR5353531",-4.05674919784783,1.29683739053334
"SRR5353532",-3.0385291308236,0.252975688448797
"SRR5353534",-2.59894380272149,0.723349438181769
"SRR5353535",-5.03861674965142,0.780351088515173
"SRR5353536",-2.81492099464654,0.813098208180319
"SRR5353538",-4.87787589729547,0.897331149450194
"SRR5353539",-3.85322270096063,1.53378118681038
"SRR5353540",-3.22580251396417,1.54775841640557
"SRR5353541",-3.35352525413751,1.52022598790253
"SRR5353542",-3.34499559105157,1.14946399735535
"SRR5353543",-4.71641025245904,1.36228798436249
"SRR5353545",-3.07915613353967,0.942862318030249
"SRR5353546",-3.90802416504144,0.57463286923493
"SRR5353547",-2.59898039997338,0.573451743594061
"SRR5353548",-2.47502371967553,0.617306099406134
"SRR5353550",-3.61646446884393,1.77721022175873
"SRR5353551",-4.52990112007379,0.509639368525397
"SRR5353553",-3.09961650074243,1.55898137497033
"SRR5353554",-4.37443194092034,0.691158698073279
"SRR5353555",-4.29114827812432,0.770108685961615
"SRR5353556",-1.81434336603402,0.273089514246832
"SRR5353557",-4.89818319977044,1.02168791102494
"SRR5353558",-3.99595937431573,1.20314368712033
"SRR5353559",-4.34674844444512,1.20122096048916
"SRR5353560",-4.54708442390679,1.26616649436082
"SRR5353562",-4.59414634407281,0.943969980946432
"SRR5353563",-4.44892606437921,1.38023562835778
"SRR5353564",-4.86508617103814,0.903118939271818
"SRR5353566",-2.11039302051782,1.12390891568984
