,HG,ASW,NMI,ARI,bASW,bNMI,GC,kBET
CellSpace-all_peaks,0.5268375316705828,0.5257424585761544,0.5313899726370397,0.37475546676021126,0.9030156310048028,0.8819671002674792,0.986710183154889,0.5690264705882353
CellSpace-var_tiles,0.6672485390186921,0.524699106994692,0.6741804828207203,0.5586009881160269,0.8651720380932136,0.9603671968070534,0.9836600342213148,0.41135448179271705
LSI-all_peaks,0.626057286209341,0.5870804764856953,0.627705927345821,0.4637313978522148,0.8347048861602662,0.7421060386743156,0.9952889604383961,0.27630938375350145
itLSI_ArchR-var_tiles,0.6971083722653262,0.5735601205110781,0.6972055090430241,0.6078400425364893,0.8007787005690551,0.5220517681264811,0.9974152598414625,0.1668855042016807
chromVAR-motifs,0.5415134227270382,0.5242571376111357,0.5395455915883026,0.37256479503857226,0.8413235024587494,0.7665311333101156,0.9825711314537541,0.30851302521008395
chromVAR-kmers,0.5485938813549147,0.5171690168098919,0.5357374214567571,0.3341513972537592,0.7839810500137689,0.6925045392301561,0.9808967194961453,0.23184138655462183
SIMBA-peaks_kmers_motifs,0.6127101987046631,0.534885004571025,0.606846220485538,0.45154978143537877,0.8773054505415434,0.8187970959368174,0.9970585084807525,0.27548228291316523
SIMBA-peaks,0.6141463361286749,0.5247171218437299,0.6083218184653169,0.44853904995169064,0.8680575194145941,0.8253600189357702,0.9969717025116778,0.30796610644257694
SIMBA-batch_corrected,0.324429631743903,0.4653196930876617,0.3150043353674316,0.18053077972295042,0.8045425185921449,0.9224640246388928,0.9500811962099127,0.5503878151260504
scBasset,0.6212922914966319,0.5287359206521225,0.6132166312918697,0.4706552921365877,0.9133734899871406,0.7300502173860162,0.9853597420580615,0.3188420868347339
scBasset-batch_corrected,0.5553487698370904,0.5104178661360821,0.5481151166479922,0.4350877470265071,0.9362030597232542,0.9154682779050746,0.9849792583611392,0.5282206582633053
PeakVI,0.569463459335667,0.5241620876997432,0.5522539656291328,0.3776500835049598,0.8264296837887655,0.6546532238397698,0.9899280764403847,0.35312962184873953
PeakVI-batch_corrected,0.5651817443348506,0.522718821304106,0.5581055859108767,0.3993098140258758,0.8718364280949802,0.8900241754141022,0.9823560113748498,0.4897417366946779
