"","CS1","CS2","CS3","CS4","CS5","CS6","CS7","CS8","CS9","CS10","CS11","CS12","CS13","CS14","CS15","CS16","CS17","CS18","CS19","CS20","CS21","CS22","CS23","CS24","CS25","CS26","CS27","CS28","CS29","CS30"
"SRR5355030",1.60465e-07,1.30123e-07,1.91986e-07,-2.15895e-07,1.55196e-07,3.99234e-07,-1.10453e-07,-3.89691e-07,9.29708e-08,3.19436e-07,2.09767e-08,7.41034e-08,1.3261e-07,1.90275e-08,4.37648e-08,-2.361e-07,-4.32527e-07,3.28988e-07,-3.0611e-08,2.09346e-07,-3.08147e-07,1.89641e-07,8.45354e-08,4.13799e-07,1.84319e-07,1.25101e-07,1.28399e-07,-2.74743e-07,-1.18826e-07,5.55202e-08
"SRR5355896",1.53687e-07,4.62175e-08,6.66363e-08,-3.27982e-07,-5.63257e-09,4.00049e-08,-8.04493e-08,-6.44917e-08,1.69255e-07,2.02262e-07,-1.78692e-08,2.23871e-07,-5.3403e-08,-1.31353e-07,9.58316e-08,-1.06634e-07,-2.02768e-07,1.11886e-07,9.62971e-09,-5.05471e-08,-9.21309e-08,1.87688e-08,5.79919e-08,2.32752e-07,-1.99972e-08,5.26629e-08,-1.09216e-07,4.9256e-08,1.33719e-07,1.05083e-07
"SRR5354664",2.14641e-07,2.63365e-08,-7.13354e-08,-5.19602e-07,-2.82997e-08,2.18789e-07,-3.64447e-07,-2.75783e-07,-5.04739e-08,2.45694e-07,1.84099e-07,2.53647e-08,-4.41091e-08,-2.73462e-07,-2.12746e-07,-1.38109e-07,-6.79274e-07,3.12852e-07,-3.82204e-08,5.23017e-08,-2.72562e-07,3.82527e-07,8.85101e-08,3.96873e-07,-2.77353e-08,-7.1338e-09,-1.36994e-07,-2.14676e-07,-6.44066e-08,1.73045e-07
"SRR3986165",0.00847857,0.0166075,0.0144925,-0.0136778,-0.00466607,0.00557253,-0.0232253,0.0148932,-0.00426549,0.00550685,-0.0161961,0.0194079,0.0103526,-0.0208384,0.020015,-0.0210309,-0.0165897,0.00237064,-0.013936,0.00128896,-0.0254129,0.0271277,0.00532295,0.0160983,0.0221645,0.00452395,0.0108233,-0.00607986,0.00312113,-0.00676886
"SRR5355015",2.89477e-07,1.19204e-07,1.2905e-08,-3.11616e-07,1.68719e-07,3.79428e-07,-5.35155e-08,-2.06823e-07,1.57537e-08,2.87698e-07,-1.69772e-07,2.48013e-07,1.34554e-07,-1.22329e-07,-8.18056e-08,-2.71204e-07,-4.01618e-07,3.08451e-07,2.09935e-09,2.75691e-07,-7.90467e-08,8.43612e-08,1.52133e-07,3.67733e-07,1.68185e-07,1.75767e-07,3.46928e-09,-2.65102e-07,2.95085e-09,-1.05723e-08
"SRR5355598",4.4569e-06,3.38531e-06,2.34889e-06,-1.02139e-05,3.3156e-06,-2.60373e-07,-1.14773e-05,-4.61122e-07,5.26137e-06,2.59666e-06,-1.92373e-06,7.09951e-06,3.67132e-07,-8.90223e-06,5.21856e-06,-6.0168e-06,-1.81211e-05,7.49291e-06,7.68751e-07,2.48509e-06,3.26338e-07,4.37705e-06,9.10958e-07,4.95472e-06,8.40469e-06,4.42741e-06,-5.32223e-06,-1.3576e-05,-1.17397e-06,1.94941e-06
"SRR5355559",2.15175e-05,6.34834e-06,1.45599e-05,-1.39173e-05,1.16521e-05,1.89615e-05,-5.40725e-06,4.85637e-06,1.07814e-05,7.553e-06,-4.75234e-06,7.88228e-06,1.10564e-05,-2.34843e-06,8.59929e-06,-1.31917e-05,-2.60034e-05,1.95916e-05,1.55936e-06,5.53491e-06,-3.27765e-06,1.72523e-05,1.89109e-06,2.35475e-06,-1.3318e-05,1.15159e-05,-1.17242e-05,6.22657e-06,6.86804e-06,4.80171e-07
"SRR5355139",4.48198e-08,-2.64133e-08,4.00005e-08,-1.48722e-07,-1.75325e-08,7.20567e-08,-1.07199e-07,-6.51922e-08,1.14405e-08,5.13911e-09,-3.93527e-08,1.41251e-08,-6.7595e-08,-3.89331e-08,-8.12308e-08,-5.52854e-08,-1.36143e-07,3.53727e-08,2.069e-09,3.70048e-08,-3.93359e-08,4.51149e-09,4.46159e-08,4.17248e-08,3.38526e-08,1.28827e-08,-7.44439e-08,-1.10404e-07,-1.46758e-08,-2.73673e-08
"SRR5354249",1.90422e-07,-1.80184e-08,9.3957e-08,-3.17427e-07,-1.4788e-08,1.39541e-07,-9.51327e-08,-5.49094e-08,1.95573e-08,1.28603e-07,-1.47109e-07,1.14761e-07,4.49826e-08,-2.15507e-07,-2.37012e-08,-6.62759e-08,-3.54594e-07,1.7419e-07,-6.24966e-09,1.8848e-07,-2.17731e-07,2.17858e-07,6.67043e-08,1.01129e-07,6.08291e-08,-8.7589e-08,-1.71959e-07,-1.21839e-07,5.55955e-08,-2.65947e-08
"SRR5355940",6.17971e-07,2.65688e-07,3.23596e-07,-7.32334e-07,9.28241e-08,8.22981e-07,-3.64352e-07,1.32217e-07,-2.36415e-07,3.59106e-08,-5.80296e-07,3.25628e-07,6.50461e-07,-1.85828e-07,4.30062e-07,-2.39356e-07,-9.23678e-07,4.38865e-07,-7.68532e-08,3.15628e-07,-6.37595e-07,5.25799e-07,1.37915e-07,5.11222e-07,3.0357e-08,5.68802e-07,7.45817e-08,-1.7829e-08,-3.93818e-07,2.68515e-07
