"","CS1","CS2","CS3","CS4","CS5","CS6","CS7","CS8","CS9","CS10","CS11","CS12","CS13","CS14","CS15","CS16","CS17","CS18","CS19","CS20","CS21","CS22","CS23","CS24","CS25","CS26","CS27","CS28","CS29","CS30"
"SRR5355030",-1.50897e-06,3.95882e-06,-6.80794e-07,-1.04963e-06,-1.27708e-06,-5.07554e-07,8.91608e-07,-4.39447e-07,3.20678e-07,1.61719e-06,-1.87504e-06,-2.69432e-06,5.45241e-06,-2.98371e-06,-8.48284e-08,-9.92813e-07,-9.04725e-08,2.75029e-06,3.35442e-07,-1.0697e-06,-3.77927e-08,1.28063e-06,4.41133e-07,7.70179e-06,4.26082e-06,5.32683e-06,5.36315e-06,3.68612e-06,2.49667e-06,2.11073e-06
"SRR5355896",-0.000354316,0.00124608,7.9372e-05,-0.000409613,-0.000415324,0.000378365,0.000486126,-0.000273047,0.000534994,0.000296413,0.000268034,-0.000618858,0.000871574,-0.000625992,-0.000222303,-0.000335353,0.000369652,0.000436299,-0.000177297,-0.000180551,-0.000120066,-9.01405e-05,0.000401763,0.00172489,0.000536797,0.00110788,0.00104359,0.000825537,0.000557792,-5.7276e-05
"SRR5354664",-2.67764e-06,5.63841e-06,-2.06688e-06,-1.05936e-06,-1.92443e-06,-1.86181e-06,1.40804e-06,1.39828e-06,8.87827e-07,2.97544e-06,-2.80847e-06,-4.04404e-06,6.57494e-06,-4.90952e-06,-4.36111e-06,-2.66406e-06,4.01955e-06,5.68534e-06,-3.67303e-06,-2.2538e-06,2.06682e-06,-1.30217e-07,-1.27081e-06,1.20216e-05,6.17586e-06,8.10554e-06,6.19582e-06,7.23556e-06,7.80897e-06,7.23265e-06
"SRR3986165",-7.88108e-05,0.00015039,5.70345e-05,-4.61873e-05,-0.00016379,-5.68006e-05,0.000161253,4.83564e-05,1.04347e-05,9.91752e-05,-5.11511e-06,-0.000170361,0.000165359,-0.000105113,-0.000148649,-3.40013e-05,3.97276e-05,7.48136e-05,0.00013583,-0.000188233,0.000192945,0.000131476,-3.67492e-06,0.000445881,0.000243251,0.000308812,0.000319423,-4.76397e-05,0.000111935,0.000212093
"SRR5355015",-1.99893e-06,2.48512e-06,-3.25423e-07,-4.35587e-07,-1.41435e-06,1.94574e-07,9.2598e-07,-1.4008e-06,9.14891e-08,1.46448e-06,-7.098e-07,-1.76837e-06,4.37671e-06,-1.89022e-06,-7.934e-07,-5.53786e-07,-1.06399e-06,2.37776e-06,-1.33301e-07,-7.4225e-07,-1.27727e-06,7.44543e-07,5.98075e-07,5.61714e-06,3.70951e-06,3.88971e-06,4.56022e-06,3.71714e-06,1.77414e-06,2.83196e-06
"SRR5355598",-7.81771e-05,5.70876e-05,1.52664e-05,-3.06692e-05,-4.25253e-05,-1.67673e-05,-1.45006e-05,-7.38957e-05,1.43096e-05,-2.9109e-06,1.8645e-06,2.00063e-05,9.51724e-05,-6.46129e-05,-4.10668e-05,-2.37229e-05,2.02454e-05,8.56609e-05,-3.47314e-05,-1.611e-05,-7.36595e-05,-3.4323e-05,-2.72391e-07,0.000208962,8.64705e-05,0.000164456,0.000150481,0.000123292,0.000111864,7.09101e-05
"SRR5355559",-0.00266014,0.00301209,-0.00312285,-0.0006673,-0.00272234,-0.00244175,0.000773299,0.000569658,0.00615182,0.00248018,0.00307322,0.00316089,0.00701576,-0.00540439,-0.0064018,-0.00193314,-0.000245596,0.00180578,0.00628225,0.00443037,0.00133556,-0.00894546,-0.000651067,0.0113398,0.00780712,0.0110624,0.00368658,0.0053804,0.00250699,0.00674967
"SRR5355139",-1.31097e-06,4.03554e-06,3.53812e-07,-1.8251e-07,-2.27143e-06,-1.36709e-06,1.02739e-06,1.23382e-06,1.4142e-06,2.3939e-07,-2.9752e-06,-2.12396e-06,4.73913e-06,-2.81888e-06,-1.65338e-08,-1.54317e-06,2.25183e-06,3.15462e-06,-3.98655e-06,1.03727e-06,-9.77595e-08,-1.75389e-06,7.67211e-07,9.65599e-06,3.38949e-06,6.31465e-06,3.78747e-06,5.42084e-06,4.14353e-06,3.76975e-06
"SRR5354249",-2.73165e-05,7.86618e-05,-8.00545e-07,-2.16582e-05,-3.03147e-05,-4.45864e-06,1.60188e-05,8.92684e-06,3.25977e-05,2.29054e-05,-3.09735e-05,-3.56927e-05,8.65993e-05,-8.14268e-05,-2.29458e-05,-2.37723e-05,2.46345e-05,3.58834e-05,-4.57249e-05,-8.3227e-06,3.93606e-06,5.65203e-07,1.21094e-05,0.000134348,5.82218e-05,7.44129e-05,8.07095e-05,7.18661e-05,7.67286e-05,7.40955e-05
"SRR5355940",-0.000289002,0.000215337,8.62446e-05,-7.08729e-05,-0.000100878,4.68635e-05,9.12785e-05,-0.000161828,0.000157759,0.000167139,-0.000147548,-5.11729e-05,0.000311502,-0.000237692,-0.000137376,-9.07318e-05,-7.44586e-05,0.000165107,-4.03403e-05,2.04482e-05,0.000128281,0.000194469,9.21068e-05,0.000502178,0.000135891,0.000439131,0.000433939,0.000359844,0.000198236,0.000208321
"SRR5355935",-1.11839e-05,4.33432e-05,-6.00717e-06,-7.1815e-06,-2.00141e-05,-8.49872e-06,1.39009e-05,-1.10601e-05,1.43158e-05,9.04317e-06,-1.21144e-05,-6.25838e-06,4.54015e-05,-1.0898e-05,-2.14457e-05,-2.15434e-05,-3.71547e-06,3.33132e-05,-9.52041e-06,-4.88109e-06,8.45755e-06,9.99695e-06,-1.23335e-05,5.87536e-05,3.50338e-05,4.67067e-05,4.48779e-05,2.76204e-05,2.09964e-05,1.85985e-05
"SRR5355138",-1.48114e-06,4.01463e-06,-1.78851e-08,4.0061e-07,-2.53039e-06,-2.13087e-06,2.1075e-06,2.13219e-06,1.94326e-06,1.0465e-06,-4.72783e-06,-2.83721e-06,5.78068e-06,-4.89055e-06,1.43236e-06,-1.50266e-06,3.13434e-06,4.50943e-06,-4.51656e-06,1.2134e-06,5.63226e-08,-2.75311e-06,-9.40293e-07,1.23871e-05,6.44989e-06,7.05534e-06,4.30329e-06,6.54649e-06,8.11703e-06,4.01871e-06
"SRR5356122",-3.84763e-05,6.25291e-05,-1.0776e-05,-2.53308e-05,-1.86191e-05,-4.30788e-05,2.48479e-05,-4.74792e-05,3.16801e-05,1.18678e-06,-3.31664e-06,-4.67451e-06,8.68527e-05,-6.23689e-05,-2.84555e-05,-5.59189e-05,4.27842e-06,4.22752e-05,-2.89592e-05,-4.52347e-06,-3.54023e-05,-3.51716e-06,-8.40452e-06,0.000156234,5.43456e-05,0.000120447,8.41255e-05,9.42866e-05,6.39549e-05,4.96956e-05
"SRR5355616",-9.35188e-07,1.28433e-06,1.03864e-07,-7.19657e-08,-1.68618e-06,-1.84008e-06,-5.60793e-07,-1.53593e-06,5.11785e-07,7.27286e-07,-1.89423e-07,6.94667e-08,3.04034e-06,-1.80145e-06,-1.50219e-06,-7.47813e-07,5.73316e-08,1.62836e-06,-2.22164e-07,-8.65812e-07,-7.7797e-07,-4.32031e-07,-9.59796e-07,5.23573e-06,1.65155e-06,2.88233e-06,2.38972e-06,2.35999e-06,2.0678e-06,1.47568e-06
"SRR5355086",-5.97263e-06,9.4398e-06,-1.9727e-06,-1.3409e-06,-8.38252e-06,-6.13727e-06,3.3538e-06,-2.10918e-06,4.80107e-06,3.47619e-06,-3.44049e-06,-3.45158e-06,1.35283e-05,-1.10115e-05,-6.61064e-06,-5.17967e-06,8.18473e-07,8.40718e-06,4.40092e-07,-1.01573e-06,1.21478e-07,2.90396e-06,1.67261e-06,2.09207e-05,1.34088e-05,1.27132e-05,1.4887e-05,1.39739e-05,9.18838e-06,6.96842e-06
"SRR5356035",-0.000104327,0.000183313,-8.77221e-07,1.17231e-05,-6.18363e-05,1.76855e-05,-1.53598e-05,-2.31762e-05,1.21798e-05,9.14999e-05,-1.30312e-05,-4.02122e-05,0.000237823,2.20187e-05,-1.56674e-06,-9.76195e-05,-1.25011e-05,6.37481e-05,4.90384e-05,1.42218e-05,-6.19516e-07,-1.23328e-06,7.5182e-05,0.000338249,9.77999e-05,0.000297889,0.000196314,0.000219415,3.80962e-05,0.000173359
"SRR5355212",-2.04405e-05,1.8385e-05,3.00243e-06,-7.02396e-06,-1.03913e-05,-2.4686e-06,1.44219e-05,8.12493e-06,1.14206e-05,5.91271e-06,-2.94152e-05,-4.71879e-06,2.39337e-05,-1.974e-05,-1.00443e-05,-7.72322e-06,1.14834e-05,2.38085e-05,-1.50086e-05,8.34821e-08,4.61914e-06,-8.93654e-06,-8.92375e-06,5.87526e-05,2.45916e-05,4.10073e-05,2.86103e-05,2.45413e-05,3.19696e-05,2.99554e-05
"SRR5356012",-0.000484183,0.000231332,7.02069e-05,-0.000297387,-0.000100715,-3.95039e-05,0.000133159,4.16814e-05,5.95544e-05,2.12143e-05,4.43704e-05,0.000212095,0.000297514,-0.000124502,-4.80257e-06,-0.00012471,9.0953e-06,0.0003089,1.08938e-05,-0.00012348,4.00136e-06,-0.000117592,0.000166538,0.000346826,0.000107773,0.000382218,0.00023746,6.34528e-05,8.56267e-05,-1.83861e-05
"SRR5355961",-1.84272e-05,3.31471e-05,5.51104e-07,-1.16916e-05,-1.05832e-05,-2.62326e-05,6.7644e-06,-1.42801e-05,1.72728e-05,2.23513e-05,-1.44477e-05,-4.73702e-06,5.75143e-05,-2.95102e-05,-1.49027e-05,-3.02375e-05,-8.3461e-06,2.01707e-05,-1.11358e-05,-3.14824e-06,-1.77904e-06,7.85907e-06,5.72617e-07,7.55619e-05,4.66447e-05,4.84988e-05,3.89145e-05,4.14457e-05,3.82749e-05,2.82385e-05
"SRR5354241",-5.60961e-06,1.20116e-05,-2.68692e-06,-4.744e-06,-4.53456e-06,-1.95272e-06,5.66474e-06,4.6228e-07,3.0412e-06,4.52713e-06,-7.24497e-06,-8.17524e-06,1.41327e-05,-1.32161e-05,-7.5642e-06,-3.6523e-06,6.49393e-06,7.60496e-06,-6.82047e-06,-3.40825e-07,1.55175e-06,-2.33191e-06,-3.00141e-07,2.88541e-05,1.41922e-05,1.47156e-05,1.32729e-05,1.58078e-05,1.49797e-05,8.86783e-06
"SRR5354696",-7.75619e-06,1.47121e-05,-4.88095e-06,2.20123e-07,-4.27313e-06,-5.25135e-06,5.88483e-06,3.50097e-06,7.05176e-06,6.99487e-06,-1.18474e-05,-1.74408e-06,1.34637e-05,-1.2741e-05,-6.59929e-06,-6.0755e-06,7.60202e-06,6.12896e-06,-5.35487e-06,3.91413e-06,-1.1612e-06,-3.09806e-07,-3.66715e-06,2.42447e-05,1.06196e-05,1.66103e-05,1.58499e-05,1.77999e-05,1.3024e-05,1.24581e-05
"SRR5354102",-0.000128385,0.000201027,-1.48463e-05,-2.76354e-05,-9.92933e-05,3.4914e-05,3.9675e-05,-3.58297e-05,9.54667e-05,4.2998e-05,-0.000103347,2.20059e-06,0.000303708,-0.000194735,-0.000152066,-0.000179533,-8.97034e-06,9.92119e-05,-5.87084e-05,3.8286e-05,-8.9139e-05,9.23866e-05,-1.26484e-05,0.00050944,0.000303402,0.000325642,0.000452699,0.000209258,0.000218341,0.000277801
"SRR5355155",-7.09766e-06,9.20676e-06,2.47649e-07,-5.21336e-06,-1.45941e-06,2.46223e-06,4.00424e-06,8.52401e-07,3.31036e-06,5.15184e-06,-1.35747e-05,-9.09879e-06,1.30606e-05,-1.55788e-05,-7.96599e-06,-9.36352e-07,9.90047e-06,9.6675e-06,-7.72584e-06,-1.01106e-06,-2.15561e-06,-5.71568e-06,-2.72786e-06,3.02745e-05,1.62794e-05,1.98762e-05,1.21128e-05,1.72545e-05,2.05742e-05,1.52032e-05
"SRR5354558",-8.82154e-05,0.000258811,4.69241e-05,-0.000154864,-7.05512e-05,-7.60384e-05,0.000100052,-9.12798e-05,0.000189996,-7.69818e-06,-0.000166171,-7.07733e-05,0.000455908,-0.000270807,-5.14193e-05,-7.04088e-05,-2.7957e-05,0.000199789,-8.91883e-05,2.62438e-05,0.000129629,9.36815e-05,1.96795e-05,0.000546186,0.000381657,0.000456301,0.000365581,0.000391718,0.00037465,0.000205102
"SRR5354845",-6.20322e-06,6.57837e-06,2.62519e-08,-8.02025e-07,-2.63819e-06,-3.91276e-06,2.58547e-06,-1.68749e-06,3.45093e-06,1.83865e-06,-1.86461e-06,-2.95811e-06,1.19586e-05,-6.1561e-06,-9.45485e-07,-4.72026e-06,-4.91584e-07,8.22031e-06,1.8828e-06,-2.63669e-06,1.21367e-06,3.41788e-06,3.7745e-07,1.55105e-05,8.10982e-06,9.15114e-06,1.14097e-05,9.50982e-06,6.62516e-06,5.71121e-06
"SRR5355897",-0.00197998,0.00248963,0.00146708,0.000245564,-0.000606492,0.001029,0.000304408,-0.000450476,0.00210967,0.0017765,0.000140037,-0.000293928,0.00289024,-0.00198477,-0.00045899,-0.00193664,0.0013261,0.00442173,-3.01169e-06,-0.000738704,0.000365321,0.000709369,-0.000116481,0.00348444,0.00165571,0.00386555,0.00432154,0.00393959,0.000425261,0.00201458
"SRR5354151",-0.000174817,0.000322774,-6.29763e-05,-4.15757e-05,-0.000235557,-9.22847e-05,0.000245292,1.0002e-05,4.78787e-05,0.000166292,3.12358e-05,-0.000118608,0.000561718,-0.000120045,-0.00010143,-0.000267151,5.00845e-05,0.000312266,-8.21374e-05,-5.99624e-05,0.000118275,1.30704e-05,8.45046e-05,0.000762594,0.000407575,0.000326489,0.000388489,0.000517842,0.00040749,0.000431688
"SRR5355582",-1.3394e-06,1.49556e-06,-2.13186e-07,-5.25583e-07,-2.2957e-06,-1.62672e-06,6.70845e-08,-2.11118e-06,1.58277e-07,9.41829e-08,-4.26385e-07,6.09001e-07,4.36842e-06,-2.77273e-06,-1.31368e-06,-3.8776e-07,-1.69761e-08,2.32703e-06,-1.193e-06,-1.03491e-06,-7.96368e-07,-3.76713e-07,-1.12282e-06,7.44466e-06,3.15048e-06,5.16152e-06,4.00461e-06,3.29664e-06,2.74595e-06,3.12665e-06
"SRR5356120",5.3336e-07,7.78966e-06,-6.67372e-07,-3.18706e-06,-5.78209e-06,-5.28054e-06,3.2251e-06,-4.90306e-06,-1.00034e-06,5.9919e-07,-2.7812e-07,-5.13507e-07,1.03572e-05,-9.72044e-06,-6.15156e-06,-3.58227e-06,-1.88251e-06,9.96065e-06,-1.70449e-06,4.57802e-08,-3.41598e-06,1.64908e-06,-1.05307e-06,1.98262e-05,1.33017e-05,1.48582e-05,1.19161e-05,1.28072e-05,8.64331e-06,9.15365e-06
"SRR5354506",-0.00130983,0.000889468,-0.000149805,-0.00084024,-0.000906894,-0.000294542,-0.000395363,-0.000357301,0.000499069,-0.000822419,-0.00114881,-0.000840123,0.00283262,-0.0016165,-0.00138977,-0.00159884,0.00103433,1.98852e-06,-0.000147147,0.00183755,0.000255192,0.000975181,0.000292775,0.00400551,0.00186782,0.00185924,0.00267335,0.00166824,0.00185687,0.00166035
"SRR5354376",-6.02214e-06,1.89108e-05,-5.34203e-06,-9.76827e-06,-6.01657e-06,-7.81213e-06,5.29779e-06,-4.36888e-06,8.75129e-06,3.96927e-06,-1.07756e-05,-8.42369e-06,2.56012e-05,-1.59312e-05,-1.0094e-05,-1.18646e-05,9.29693e-06,7.91419e-06,-8.79833e-06,-2.02982e-06,-3.43569e-06,1.48246e-06,4.04151e-07,4.03936e-05,2.16926e-05,2.66482e-05,2.12933e-05,2.22227e-05,2.17652e-05,1.89488e-05
"SRR5354182",-5.63859e-06,1.25169e-05,-2.42447e-06,-6.12054e-06,-4.60446e-06,5.11561e-07,3.65992e-06,-8.54661e-07,4.52641e-06,2.18397e-06,-6.54322e-06,-1.81722e-06,1.39231e-05,-1.14069e-05,-6.61543e-06,-7.03523e-06,1.94532e-06,6.76378e-06,-5.33729e-06,-1.51529e-07,-4.33747e-07,-9.53359e-07,-4.75011e-07,2.13786e-05,1.41408e-05,1.43574e-05,1.55201e-05,1.64201e-05,1.07225e-05,9.9281e-06
"SRR5355187",-1.91715e-06,1.75458e-06,-1.10759e-06,-2.40039e-08,-9.38168e-07,1.04547e-07,9.00472e-07,3.10992e-07,4.18251e-07,5.60792e-07,-3.39875e-06,-1.55625e-06,2.83172e-06,-2.6439e-06,-4.99021e-07,-9.0023e-07,1.89041e-06,5.78987e-07,-9.45932e-07,4.55039e-07,-7.38955e-07,-5.04997e-07,9.79208e-07,6.79788e-06,3.4638e-06,4.51724e-06,3.74781e-06,3.43045e-06,2.62029e-06,3.06475e-06
"SRR5354501",-0.0002292,0.000333748,-8.92263e-05,-7.37181e-05,-0.00015674,-0.000145055,1.45934e-06,9.78375e-05,0.000114799,3.30621e-06,-0.000131235,-5.32793e-05,0.000319586,-0.000303529,-7.16979e-05,-0.000278608,5.78634e-06,0.000285244,-3.82414e-05,0.000113883,4.58466e-05,5.30712e-05,0.000124661,0.000511073,0.000329543,0.000313491,0.000480494,0.000356046,0.000263901,0.000308124
"SRR5355670",-8.24584e-06,1.4648e-05,-2.51055e-06,-6.12983e-06,-1.88435e-05,-1.55714e-05,4.51192e-06,-1.13189e-05,1.03856e-06,6.24593e-06,-5.34046e-06,6.34295e-06,2.50719e-05,-2.19946e-05,-1.13848e-05,-3.01717e-06,1.95476e-06,1.73861e-05,-1.01227e-05,-1.28272e-06,-1.16311e-05,-6.70552e-06,-6.96801e-06,4.91917e-05,1.85264e-05,3.64055e-05,3.30329e-05,2.03694e-05,1.62972e-05,1.84257e-05
"SRR5356123",-0.000110702,0.000187774,-1.29001e-05,-3.24011e-05,-8.47212e-05,-8.03777e-05,3.20169e-05,-0.000176276,4.45081e-05,0.000124396,-2.20219e-05,-0.000126593,0.000180138,-0.000198746,-5.10799e-05,-0.000109713,-2.64323e-06,0.000260491,-3.50602e-05,-4.77585e-05,5.82675e-06,4.60174e-05,3.62936e-05,0.000492953,0.000109871,0.000279062,0.000321821,0.000192549,0.00015184,0.000226703
"SRR5355613",-1.7389e-06,2.26482e-06,9.41422e-07,-1.42582e-06,-2.75756e-06,-1.25538e-06,9.05653e-07,-3.10587e-06,-1.82041e-09,8.11225e-09,-3.98995e-07,-7.20985e-07,5.50323e-06,-2.57021e-06,-1.61153e-06,-3.07414e-07,-2.10026e-07,3.94075e-06,-6.87607e-07,-1.02717e-06,-1.56502e-06,-9.79965e-07,-2.86474e-07,8.95093e-06,3.01013e-06,6.18336e-06,5.38214e-06,4.2895e-06,3.8756e-06,3.74649e-06
