Run,0,1,2,3,4,5,6,7,8,9,10,11
SRR3986024,-1.1884977,-0.7334005,1.5207063,2.4100187,1.423896,0.34574643,-1.3375897,-3.4641502,-0.17413485,0.032019846,-0.16340792,0.3653043
SRR3986025,-1.1878335,-0.10593718,1.1979811,2.6360044,-0.69881094,1.1487808,0.36480603,-0.99360883,-1.3810644,-0.034993287,-1.6176014,1.2092817
SRR3986026,-1.6879427,-0.14651103,1.4403211,1.8511214,0.844598,0.84547454,-1.0808061,-2.54593,-1.3542084,1.7952751,1.017868,-0.13545221
SRR3986027,0.60768175,-0.26299626,1.9375521,2.9060462,0.2660671,0.4687622,-1.332012,-2.643898,-1.5610391,0.84235436,-1.0288205,0.7516641
SRR3986029,-1.5137036,-0.40485418,1.6479928,2.3969257,-0.604065,0.24226432,-0.52781945,-1.1807077,-0.4835815,-0.848233,-2.2854211,1.1158471
SRR3986031,-1.3917682,1.0954825,1.8791294,2.2426777,-0.43148395,0.3001325,-0.61989266,-2.0596983,-1.2921262,-0.9025908,-1.4888916,-0.04128561
SRR3986032,-0.9457542,-0.8503941,0.6629362,3.172244,0.92547446,-0.9588894,-0.7995195,-1.8450222,-0.64678174,-0.39388192,-2.0838566,1.0352317
SRR3986034,-0.30550388,-1.5856328,0.47773862,2.5918036,-0.26349103,-1.358484,-0.58276236,-1.1095102,-1.4121133,0.25182626,-2.4416564,0.6781834
SRR3986035,-0.42706752,0.62328017,2.2231264,1.1138914,1.4922025,1.0943241,-1.4545745,-1.4848586,-2.073459,1.4546448,1.0895665,1.3436723
SRR3986036,-2.3031554,0.80554664,1.4754272,2.902699,-0.63514024,0.73765653,-1.3659698,-1.49194,-1.6926148,-0.7508745,-1.6851145,1.2165226
SRR3986037,-1.6964356,0.89017296,2.1442428,2.7972822,1.3772967,0.83079296,-1.4052973,-1.5463849,-1.2930518,-0.17677495,-0.9487246,0.020148626
SRR3986038,-1.1818277,0.9586714,2.140648,2.992445,-0.5893687,0.21493524,-1.2157906,-0.18882278,-1.8847369,-0.29554993,-1.0750433,0.98969626
SRR3986039,-1.2475381,-0.22218932,2.0491614,2.936185,0.62703764,0.32426107,-0.7114508,-2.2226067,-1.455424,0.31780872,-1.0292798,0.85063463
SRR3986041,-1.996686,1.7623023,1.7941079,2.4332216,-0.682241,2.443746,-1.3309262,-0.9124642,-1.8322793,0.28674743,-0.34721136,0.90674573
SRR3986042,-1.9064127,0.46400642,1.6584797,2.752584,0.16474873,0.209734,-1.005088,-2.2150018,-0.98299485,0.73171556,-1.6613133,0.89739895
SRR3986043,-1.7414263,0.19699048,2.1870413,2.0529525,0.51299745,1.1458774,-1.1376556,-1.941844,-1.9881514,-1.0106488,-0.5530379,0.4585321
SRR3986044,-2.0794973,1.1038294,2.3812103,2.3856807,0.414768,0.52550125,-2.4338439,-0.33509248,-1.6356236,-0.20913662,1.4220444,0.24526246
SRR3986046,-1.4469515,-0.3966803,1.1580637,3.100923,-0.08697347,-0.35160288,-1.0911967,-1.8045291,-0.91642857,0.1919722,-1.6906115,1.3969923
SRR3986047,-1.5133257,-0.45612627,0.70847183,3.2676775,0.14711243,-0.5990424,-0.97962916,-1.763726,-0.49923563,-0.46420598,-2.329014,0.76924723
SRR3986048,-2.2031345,-0.27448905,1.3787411,3.0093095,-0.24072678,0.47729614,-1.2007402,-1.3308619,-0.50243825,-0.08746402,-2.271275,0.9039283
SRR3986050,-0.56754315,-0.6224688,0.18086924,2.7808242,0.45866314,-1.5972141,0.11641157,-1.7973136,-0.53255796,-0.13089842,-1.9943473,1.0784214
SRR3986051,-1.7402016,-0.9879315,1.5166156,2.417296,1.1731426,0.6913545,-0.24270475,-2.0633357,-0.15873383,-0.18138,-0.3963701,1.2506224
SRR3986052,-2.6021957,-0.41084963,1.410384,2.55822,0.6517866,1.0628318,-1.7011167,-1.6224867,-0.6529844,-0.02271564,-1.3493938,0.77124643
SRR3986053,-0.35512286,0.6035711,-1.9949803,2.4446986,0.58154577,-0.41743726,-0.52170277,-1.6675539,-1.3351514,-1.4004337,-0.644899,0.9244655
SRR3986054,-0.3402551,-0.96601,1.0349685,3.7303693,-0.23387727,-0.0074589234,-1.1454642,-1.3148357,-1.7674036,0.5453821,-1.5299652,0.35365626
SRR3986056,-1.6309972,-0.33977938,0.47941494,3.2295947,-0.37917984,-0.21566549,-1.095994,-1.3322495,-1.1713613,-0.43030837,-2.694516,1.0744414
SRR3986057,-1.3215854,0.28612143,1.5069362,1.999631,0.57049906,0.32127425,-2.8835497,-2.1831236,-1.2308909,-2.0165937,-0.34363878,0.16409552
SRR3986058,-1.5017937,0.6417467,0.26401,1.9601057,0.07643661,-0.55164224,-1.0849764,-0.5346245,-1.5705439,0.1418616,-0.7791318,0.8600767
SRR3986059,-1.1348794,1.482687,2.2617893,2.2559695,-0.083132036,0.40443844,-0.9520577,-2.2226343,-2.0049384,-0.49927217,-0.6433216,-0.08110874
SRR3986060,-1.7520876,-0.51738524,1.0819435,2.8313727,0.1194364,-0.020640338,-0.9150964,-2.571527,0.3221665,-0.61109746,-1.730147,1.2273762
SRR3986061,-1.552072,0.9719908,2.6072736,1.9316186,0.5258154,1.026452,-1.4840298,-1.0976224,-0.97415143,-0.4293115,-0.14099282,1.5530883
SRR3986062,-1.5199157,1.9720185,2.7026901,2.1155741,-0.14614476,1.29514,-1.4327856,-2.0810058,-1.7459991,-0.29724592,-0.9094599,-0.3103092
SRR3986063,-1.8807966,1.1565298,3.0929775,1.721252,0.27682465,1.136913,-1.0732015,-0.36838555,-1.6981968,-0.6145544,-0.93857914,0.32262796
SRR3986064,-1.2438996,-0.7266796,1.4774902,3.2709842,0.23013492,-0.35268715,-1.0624384,-1.382915,-0.6683931,-0.49517542,-1.9245323,0.9693006
SRR3986065,-0.58391523,-1.0029008,0.5203331,3.0774927,0.13366632,-0.044815116,-0.8988442,-1.9747424,0.15742156,-1.2204521,-2.0477436,1.6245501
SRR3986066,-1.8050624,0.84279543,2.4857097,2.1302373,-0.94779587,1.3642095,-0.73041695,-2.2230728,-1.2105749,0.4352894,-1.8598528,-0.20683011
SRR3986067,-1.712829,-1.4608448,-0.12700304,2.3421943,0.25277096,0.7588113,0.13802671,-1.7575499,-0.89263594,-1.1728603,-1.7004784,1.3843758
SRR3986068,-1.4407923,1.2858145,1.4554296,2.6917045,-0.0128850825,-0.7701875,-1.541863,-1.9210335,-0.5143431,-0.020320933,-1.2990109,1.1354563
