Run,0,1,2,3,4,5,6,7,8,9,10,11
SRR3986024,4.057388,1.1577306,-0.1250493,0.47905797,-0.22286716,1.2962614,0.15095064,1.2360831,1.0042872,-1.2589362,0.46712738,-0.60934675
SRR3986025,0.6436683,0.022986736,1.2537023,1.5388434,-0.48772594,3.4491394,-2.0561721,1.0438306,0.9321078,-0.68271375,0.58280927,1.4241295
SRR3986026,3.1401181,1.9926176,-0.4215502,-0.060838003,-1.8100998,0.29500008,-0.7680162,1.882899,1.2038547,-1.2681379,-0.24686511,0.40079457
SRR3986027,3.00817,0.69776773,-1.2203089,-0.14432551,-0.3629308,1.5878863,-0.1256825,1.7685205,2.1848078,-1.5067996,0.9348194,0.5086317
SRR3986029,2.097086,-0.4652305,-0.07263108,0.06830837,-0.13045374,2.9642115,-1.3232747,-0.12548743,1.4525505,-2.1581259,-1.0734906,0.03595155
SRR3986031,2.315101,1.1162946,0.9345255,0.7910195,-0.2680065,2.2299664,0.9199322,0.7644667,0.3070877,-1.1438204,-1.0831138,0.49263048
SRR3986032,2.006107,-0.26265725,-0.7463355,0.066814765,0.32613805,3.8361137,-1.1245747,0.87624127,1.3211844,-0.824446,0.0066751502,0.12962748
SRR3986034,1.3191969,-0.7576112,-0.07820299,0.59228253,1.1744261,3.315726,-1.6627253,0.6441415,1.882171,-0.6637452,-0.60101026,0.045186102
SRR3986035,2.9960237,1.204633,0.6399766,0.83129007,-0.8698596,-0.91377056,-1.7643632,1.770847,1.1094161,-1.8838558,1.2612773,-0.9400484
SRR3986036,1.3857023,0.39301774,1.0332463,1.8067535,-0.34984753,2.4386032,-1.6440326,0.85663056,1.5584201,-2.4552174,-1.5665072,1.055681
SRR3986037,2.809799,1.1394998,1.1180753,2.1277463,-0.20806912,1.4154286,-0.7384184,0.4215444,0.41758415,-1.257798,1.3813736,1.3189545
SRR3986038,1.7509477,0.8757396,1.6131519,2.2250857,-1.1875519,1.8812653,-1.5118742,1.5525911,0.21914375,-1.8067684,0.12374078,0.17251083
SRR3986039,2.440655,1.231165,0.584224,0.65156823,-0.48540884,2.5936375,-0.73661566,2.1720898,1.8636203,-1.461585,0.7690993,1.3550032
SRR3986041,1.688813,1.9699653,1.7205445,1.9749554,-0.7180758,1.507072,-0.8182698,1.872391,1.3126119,-1.3466666,-1.1646174,1.452569
SRR3986042,1.7523121,-0.065399766,0.7921699,1.3305775,-0.6717449,3.2954085,-1.4468831,1.0844601,2.454771,-1.7018933,-0.5075298,0.44679064
SRR3986043,1.1527437,1.6264178,0.44328696,1.748721,-0.7059484,2.23017,-1.4007493,1.459308,2.0045006,-2.0866573,-0.004860025,1.7668009
SRR3986044,1.7515223,1.9658734,2.1463766,1.936185,-1.2690372,0.9092932,-0.37852895,1.703511,1.2483923,-1.4599788,-0.6294193,0.0024167844
SRR3986046,2.3612814,-0.047786716,0.7869773,0.98008054,0.19738927,3.1047738,-1.2386026,0.8374693,1.6208737,-1.8419989,-0.43459642,-0.11605237
SRR3986047,2.3740625,0.08910358,0.28192127,0.5781253,0.18899879,3.4219182,-0.67666596,0.2998992,1.2596679,-1.7066866,-0.6154811,-0.18138546
SRR3986048,2.027915,0.23717725,0.27146077,1.0717541,-0.07770132,3.1141412,-0.62507385,0.23900922,1.8420804,-1.8256778,-0.9880343,0.8862655
SRR3986050,0.71059555,-0.73151773,-0.76176137,-0.7460653,0.8603503,3.6363556,-1.158298,0.93573827,1.7762904,-0.9585019,-0.41388708,-0.25632584
SRR3986051,3.1755214,0.9845372,-0.9220952,0.99612325,-0.29985332,2.219503,0.43379095,0.9963948,1.19509,-0.38969144,-1.4043916,-0.52357554
SRR3986052,2.6591582,0.8488471,1.0071473,1.8371062,-0.53667116,2.272272,-1.5007132,0.21161227,1.8705336,-1.4146279,-0.23879723,1.0584915
SRR3986053,-0.5782718,0.24576366,-0.1945204,0.814068,0.13341829,2.8099265,-1.7501422,1.2226261,1.342833,-0.99295086,-1.5881081,1.268614
SRR3986054,2.3500712,0.7711376,0.31821835,0.09295116,-1.2018101,3.0037618,-0.805489,0.9384306,0.12543431,-2.5176616,-0.452825,-0.24960312
SRR3986056,1.5815302,-0.2535853,0.2625947,0.14426576,-0.21353146,4.0071793,-1.4207366,0.4208657,1.6606507,-1.9523108,-0.27472922,-0.54840845
SRR3986057,2.8325837,2.5897148,0.9189954,1.3913788,-0.22409791,0.74916756,-0.11799137,0.82945186,0.9785013,-1.4123971,-0.90123105,-1.3578033
SRR3986058,0.27205032,0.13264544,1.7516625,-0.27658308,0.8219009,0.8403731,-0.6804131,2.1918533,0.9857458,-1.121517,-0.42426282,1.1749547
SRR3986059,2.2116551,1.0625566,1.7207686,0.9506388,-0.23866165,2.6645565,-0.17528483,1.2147857,0.0116009675,-1.7980528,0.46508867,0.22019997
SRR3986060,2.2710192,0.07964018,0.44924134,0.3457109,0.22071612,3.1850274,0.17869735,-0.39626575,0.8631692,-1.694076,-0.8593195,0.1307581
SRR3986061,2.5123668,1.4128135,1.1488913,1.9516479,-1.4127576,2.5758786,-0.99307495,0.59115726,1.0327016,-1.5332856,-0.37316278,0.90777975
