Run,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
SRR3986024,0.039770555,-0.09414879,0.21756706,-0.06549341,-0.09229517,-0.024130803,-0.015987854,-0.122330636,-0.003661019,0.025939256,-0.2150472,0.25725868,-0.032934044,-0.056648653,-0.03221159,-0.061603706,0.031805888,-0.21518604,0.0952897,-0.13502862,0.17240095,0.24105418,0.04755804,0.031394348,-0.2108314,-0.37337708,-0.048534583,0.021632822,-0.08800481,0.12996991,-0.18026464,0.08782268,0.27552336,-0.04549531,-0.040699523,0.20653169,0.004492001,0.24088067,0.07392957,0.045782804,0.098052226,0.18694954,0.0026901448,-0.069006935,-0.048409283,-0.027839987,-0.14700787,-0.27608952,-0.18061997,-0.026812447
SRR3986025,0.23912735,0.104580894,0.6317035,0.015420765,-0.41926247,-0.103955045,0.2502852,0.20374809,0.48899144,0.1560846,-0.12113771,0.42386106,0.26454818,-0.38528436,0.020764796,0.07047572,-0.06856696,-0.026595017,0.38227183,-0.122952215,0.028548017,0.18343557,-0.06236987,0.22671932,-0.28662488,-0.2940009,0.042599723,-0.08493189,-0.24607265,0.17084533,-0.07354856,-0.45030951,0.39539886,0.063771725,-0.03782715,0.18022734,0.437784,0.25425953,0.02483118,-0.11345594,0.1413266,-0.13025747,-0.33890042,-0.17574896,-0.47761947,0.101611,-0.36719906,-0.2129945,0.02749452,-0.05069268
SRR3986026,-0.031718146,0.06305208,0.17281964,-0.08014858,-0.23975936,0.20217037,-0.10650063,-0.1581969,-0.032039087,-0.070403546,-0.11807529,0.2477472,0.17843589,-0.10875675,-0.104718395,-0.0909154,-0.0868397,-0.27781767,0.21621987,-0.1589492,0.15092881,0.20728174,0.16565044,-0.15025917,-0.26593307,-0.25436142,0.05839674,-0.09974249,-0.031974535,0.41789556,-0.19633007,-0.11322044,0.024245176,-0.059493836,-0.05771388,0.15993404,-0.042890195,0.23425528,0.22127666,0.07107786,0.19759439,0.087540574,-0.18182547,0.09118927,-0.11344628,-0.08117063,-0.17813957,-0.2623613,-0.059321493,-0.050272364
SRR3986027,-0.055504788,0.20845464,0.48485863,-0.10186683,-0.23148797,0.2908839,0.06299931,-0.24966751,0.19100595,-0.15509416,-0.11977364,0.3615239,0.05765675,-0.040292837,-0.042485528,-0.04041169,-7.374404e-06,-0.31987005,0.38652366,0.038397472,0.18848199,0.35406104,0.02187201,0.2227574,-0.37380573,-0.25180143,0.1361674,-0.019956311,0.029899541,0.49722567,-0.26350582,-0.25816944,0.049099825,0.0075171394,-0.0013017232,0.05378979,-0.021284483,0.24209137,0.31195793,0.011120201,0.15700436,0.051956523,-0.41168144,-0.08766861,-0.18550685,-0.11112051,-0.079420395,-0.3967493,0.14496231,-0.15524429
SRR3986029,0.059690356,0.07102417,0.3439785,-0.0024130857,-0.09442694,-0.3427679,0.075571395,0.26759458,0.3038336,0.043364488,-0.2929226,0.22350691,0.07115175,-0.23046847,-0.071722075,0.1686747,0.005888777,-0.07215376,0.027909687,-0.0076300823,0.012183862,0.23979813,-0.12435037,0.190081,-0.21515849,-0.4031582,-0.07657446,-0.0036323583,-0.36769485,-0.038591553,-0.11162575,0.037282467,0.26060092,0.17696281,0.0015159454,0.16683778,0.08054522,0.24232908,-0.060091224,0.0055439393,0.011959337,0.112759106,-0.15008307,-0.099724114,-0.18512891,0.025200987,-0.22275023,-0.2824768,-0.1482904,-0.17761822
SRR3986031,0.09239492,0.0071564433,0.2440395,-0.09321148,-0.09280321,-0.27499804,0.06601854,0.14207986,0.16533257,0.10266598,-0.3428402,0.18845113,0.022423964,-0.20398815,-0.0401522,0.13450855,0.052167945,-0.18207824,0.055293582,-0.031421717,0.058680676,0.24213052,-0.056042764,0.16057466,-0.2475021,-0.36372918,-0.11111511,-0.021500245,-0.3420705,-0.04728053,-0.15396008,0.09271834,0.30550864,0.12569489,0.0018487803,0.20714925,0.034137167,0.22811541,-0.03932215,-0.0028596693,0.015580191,0.13215727,-0.020249851,-0.09051115,-0.18965724,0.03885894,-0.17649591,-0.34646136,-0.21082486,-0.17727964
SRR3986032,0.074460045,-0.01858418,0.49117061,0.12616682,-0.3094523,-0.10976779,0.204051,0.2527993,0.33830938,0.3389406,-0.27612838,0.23300372,-0.011956413,-0.19000982,-0.08386074,0.12158586,-0.020890394,-0.09973587,0.17110711,-0.102940194,0.028377902,0.19803,-0.021440385,0.4822668,-0.13896054,-0.43720582,-0.23922443,0.2542132,-0.19849156,-0.03623695,-0.23111129,-0.22586341,0.44404972,0.064954735,0.048291,0.18776613,0.4060046,0.26385868,-0.15138076,-0.14869718,-0.058542207,0.10358587,-0.1859779,-0.38736713,-0.30612275,0.13868383,-0.32442564,-0.30566064,-0.27071404,-0.05549739
SRR3986034,-0.01596897,0.010801284,0.42467487,0.11501473,-0.24874093,-0.2280243,0.15102212,0.2880517,0.346453,0.28404915,-0.31912896,0.20354313,-0.03524491,-0.16941069,-0.10750376,0.15553053,-0.006137332,-0.087318875,0.08693281,-0.037441347,-0.0036320053,0.21486163,-0.06118173,0.46434897,-0.109761424,-0.4364232,-0.2755389,0.28002268,-0.2503067,-0.13064398,-0.22841243,-0.0951435,0.4263165,0.111468054,0.046038933,0.18014903,0.31856826,0.29251626,-0.16988839,-0.09089161,-0.099922046,0.19628623,-0.1362837,-0.3748867,-0.2651469,0.15719739,-0.2975486,-0.306272,-0.29675996,-0.09066616
SRR3986035,0.11235946,0.5111465,0.59175473,-0.24670488,-0.89595443,1.0206428,-0.3085759,-0.083415374,0.30710933,0.10511975,-0.016235447,0.48836833,0.3016221,0.098860815,0.007931628,-0.28094703,-0.042250056,-0.18013899,0.7962606,0.2582391,-0.11395921,0.2103285,0.3828599,0.044100996,-0.3478864,0.08399125,0.121331304,-0.0923317,0.28956842,0.94549286,-0.24756083,-0.60229504,0.08958288,-0.12128144,0.0028653655,0.18233056,0.6002786,0.50503653,0.17246036,0.034929544,-0.096065424,-0.48996854,-0.6269608,-0.13836917,-0.540203,-0.06126226,0.11959154,-0.10319843,0.5455956,0.14210911
SRR3986036,0.07861276,0.14453724,0.588727,-0.055797983,-0.41542992,-0.038807057,0.16043216,0.02194421,0.37356678,0.14548106,-0.12556162,0.5078056,0.1921777,-0.30604124,0.018247122,-0.013003849,0.06427555,-0.052016687,0.3626772,-0.022259722,0.11611845,0.16267373,0.0530661,0.18120658,-0.27259246,-0.20474724,0.1289239,0.019886084,-0.23123266,0.12337565,-0.017287878,-0.38411498,0.3693963,0.0085052885,0.03494482,0.30864623,0.49564326,0.29605797,0.054193325,-0.066149496,0.16553159,-0.04737283,-0.28401724,-0.23459807,-0.44729957,0.13706592,-0.30745354,-0.27193758,0.1149093,-0.0149007235
SRR3986037,0.0634058,0.16845101,0.46023738,-0.18956997,-0.33307233,0.11691178,0.008906234,-0.11767152,0.19965407,-0.02191418,-0.09205057,0.48108828,0.25223106,-0.15324813,-0.015819611,-0.035585087,-0.08787011,-0.21616249,0.3191883,-0.05725692,0.14396438,0.22355536,0.015819058,-0.0013292821,-0.3911789,-0.24648152,0.1468756,-0.20516576,-0.15099671,0.40292928,-0.17445016,-0.31795552,0.08002345,-0.053483553,-0.074091315,0.17671973,0.31566682,0.26024216,0.24474221,0.10742669,0.12754817,0.016773697,-0.3415219,-0.03559294,-0.27642003,-0.05607516,-0.32033366,-0.2791336,0.08792993,0.0052171536
