Run,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
SRR3986024,-0.20939648,0.1674419,0.29010323,-0.39733717,-0.40315756,0.18948959,-0.20787384,-0.24609838,-0.1430344,0.04663775,0.16497438,-0.04509825,-0.3879064,-0.20104536,0.117179655,0.18628457,0.26158702,-0.12741417,-0.0045535304,-0.19372588,-0.1924122,-0.056669362,0.1548806,-0.008101787,-0.049553987,-0.17866108,0.21269979,0.30301586,-0.0004117911,-0.05923242,-0.17659308,0.22771606,0.015792826,0.047356863,0.02369448,-0.13096519,0.22647206,-0.107602224,-0.069146484,0.09731273,-0.13656722,0.0655601,0.20639274,0.12012372,0.12520763,-0.085684,-0.0076657743,0.019507239,-0.12887967,-0.12814707
SRR3986025,-0.6455796,-0.14922655,0.479932,-0.18344723,-0.07878853,0.82849956,-0.48605812,0.045122545,-0.15676726,-0.29644093,-0.07671892,-1.0802933,0.3596531,-1.1727291,-0.42568165,-0.31045282,0.9496896,-0.77328444,0.2866836,0.31629273,0.24303368,0.19909161,-0.21823372,-0.11009298,0.59676796,-0.14868972,0.051778905,0.22419426,-0.470917,0.096843265,-0.4473674,-0.31401166,0.7170516,-0.36129713,-0.062975585,-0.13978995,0.11567475,-0.7343443,0.9384972,0.036861353,0.9360479,-0.44505706,-0.81625724,0.6233084,0.79695606,0.07690002,0.22728273,0.34060606,-1.426189,-0.1112788
SRR3986026,-0.29648,0.04690028,0.22515936,-0.23538846,-0.294612,0.35013455,-0.13834514,-0.16632459,-0.29330295,-0.15402792,0.16194916,0.07784513,-0.3949409,-0.36280435,0.027410125,0.086663894,0.20876342,-0.084171146,-0.20593692,-0.18272462,-0.21870516,-0.12889321,-0.046307206,0.13016951,0.024517843,-0.048543766,-0.15353799,0.5014352,-0.011023888,-0.017939951,0.07243419,0.4281231,-0.16656356,-0.16841882,-0.08972328,-0.22971807,0.44134086,-0.21505025,0.026749551,0.08668126,-0.0721319,-0.07176374,0.07590144,0.18768857,0.065136254,-0.08570377,-0.09126797,0.027057892,-0.28910023,-0.05170142
SRR3986027,-0.11880879,0.11095964,0.07225316,-0.23013966,-0.25388348,0.20711644,-0.24862573,-0.05892224,-0.12798487,-0.0225417,0.04196225,-0.10094214,-0.35272494,-0.086781174,0.091285825,0.10657051,0.22391374,-0.04131483,-0.023259617,-0.04448268,-0.05199667,-0.18421747,0.03691693,-0.004344427,-0.15618297,0.004770456,0.09024363,0.16654104,0.020740418,-0.011106649,-0.0626949,0.23793577,-0.12450465,0.06645675,0.0031734074,-0.14767908,0.23545894,-0.14498475,-0.14761154,0.13349064,-0.089785,-0.07119067,0.07335965,-0.14748101,0.18771286,-0.07398548,0.036552846,0.034577012,-0.12952991,-0.03031466
SRR3986029,-0.021973616,0.013053869,0.078866854,-0.309244,-0.36669832,0.21526532,-0.25886235,-0.15834306,0.009526643,-0.05073836,0.026311291,-0.15089017,-0.2655325,-0.0076308316,0.111937165,0.024562381,0.30982012,-0.015475139,0.18533775,0.06831502,-0.035637096,-0.17868812,0.2152423,-0.15006551,-0.15825889,-0.045975666,0.08784415,0.19914795,-0.03112546,0.1375261,-0.12209632,0.015592625,0.0155529585,-0.013221301,-0.024675367,-0.10384422,0.18849847,-0.06969422,-0.21106918,0.040505033,-0.07703961,-0.0039895517,0.10450509,0.029235713,0.17740172,-0.059410624,0.020521194,0.14753926,-0.18383716,-0.28419077
SRR3986031,0.030451879,-0.007174568,0.13020197,-0.31731227,-0.35880393,0.13464579,-0.33360705,-0.26698494,0.034899667,-0.09819423,0.11500433,-0.16107531,-0.29183722,-0.13106698,0.11946364,0.054969065,0.31006747,-0.098134585,0.06989834,0.11895102,0.0052307593,-0.1950428,0.11039305,-0.21975993,-0.12485648,-0.025817813,0.1920405,0.30092412,-0.019928573,0.0687209,-0.10037664,0.14277363,0.031421494,-0.007940644,-0.09500584,-0.16706203,0.22918284,-0.22571713,-0.15511072,0.06502584,-0.12618513,0.0576922,0.0044731204,0.041220643,0.2618424,0.0065204734,-0.0034081598,0.15369214,-0.20373504,-0.2579018
SRR3986032,0.15522315,-0.17982844,0.47316915,-0.6221115,-0.22340718,0.32953715,-0.52270424,-0.2374053,0.28633574,0.07809358,0.43515223,-1.053086,0.09022038,-0.89327735,0.32780525,-0.14442068,1.2294017,-0.68755686,0.2447738,0.60566115,0.06314227,0.43521515,0.20200945,0.007240817,0.4669998,-0.57444996,-0.29626584,0.09655325,0.3383916,0.29578838,-0.9384334,-0.19102171,0.43839258,0.059378564,0.15590067,-0.44337526,-0.17783666,-0.550755,0.77161396,0.18610989,0.61967385,-0.14750043,0.15754315,0.9033641,0.6962842,-0.52014846,-0.05480869,-0.11031311,-0.7094032,0.050579753
SRR3986034,0.031185959,-0.4726939,0.23413762,-0.86902887,-0.59155154,0.31150815,-0.309173,-0.08808067,0.3695297,0.05815701,0.29833308,-0.5312255,-0.35654843,-0.94550127,0.21739286,0.18021615,0.6101205,-0.3897027,0.59724206,0.35748383,0.23770085,0.39450783,0.12918206,-0.11335209,0.5409133,-0.18733524,-0.17875725,0.37430924,0.025292637,0.15889122,-0.51539195,-0.12008556,0.49582675,-0.14386906,0.00984627,-0.6023174,-0.13729578,-0.470221,0.35787657,0.26307437,0.21443255,-0.11309805,0.12513267,1.0159748,0.3394129,-0.31295168,-0.21321316,0.030125232,-0.45503414,-0.23060109
SRR3986035,-1.1492426,-0.13123344,1.0886292,0.22826433,-0.18434958,0.61495984,-0.6601442,0.5471368,-1.0770332,-0.17932543,0.5369227,-0.21068493,0.18146013,-1.2964453,-1.1716827,-0.42358738,-0.052595872,-0.16135748,-1.1713626,-0.07673275,0.036358718,0.44893938,-0.7109166,0.5554295,1.1863962,-0.50443166,-1.3101548,0.15238288,-0.38457584,-0.8543946,-0.3032634,0.7432087,-0.76924175,-0.25058094,0.67845464,-0.8797309,-0.11463864,-1.018608,0.3058298,-0.20725681,0.08273505,-0.46286792,0.27456996,1.0353878,-0.1643993,0.36197114,-0.7917777,-0.08982799,0.16351137,0.53304297
SRR3986036,-0.5363854,-0.09887335,0.11715886,-0.40626398,-0.42666382,0.077933304,-0.23026797,0.22285414,0.07320319,-0.25584555,0.45554405,-0.4397754,-0.31044644,-1.0791945,0.014035393,-0.12540933,0.17308028,-0.8152396,-0.53873396,0.8834192,0.31567088,0.18107522,0.0751785,0.249366,0.036188956,-0.3316473,0.29966837,0.5248209,-0.8364958,-0.013568657,-0.023943072,0.23260437,0.45662916,-0.2969974,0.0075926743,-0.36307237,-0.2807768,-0.87260544,0.500295,0.40048537,0.27976623,-0.13476184,-0.3393412,0.47137198,0.31641203,-0.2397201,-0.47778732,0.31851992,-0.7180408,-0.46078792
SRR3986037,-0.34934422,0.10564689,0.37622124,-0.2776784,-0.3214763,0.3293954,-0.2689804,-0.09895887,-0.063247204,-0.22509411,0.044156026,-0.2944196,-0.25915006,-1.1237279,0.3234739,-0.028917583,0.4712062,-0.3275939,-0.09862637,0.035746515,-0.01774825,0.15452991,-0.24951155,-0.20225678,-0.024440318,-0.346923,-0.34209058,0.31837976,-0.2770871,-0.028664513,-0.14833125,0.058134537,0.008260458,0.055890143,-0.26780882,-0.2075055,0.4102166,-0.5634487,0.0121987555,0.06828358,-0.021573456,0.12122931,0.024828147,0.15303089,0.39092875,0.18499444,-0.33324373,0.14730163,-0.3524594,-0.16587292
SRR3986038,-0.21487413,0.07607013,0.4009465,-0.0017976465,0.27822724,0.20137726,-0.71991193,0.030955955,-0.073989265,0.12335979,-0.060236536,-0.5990365,0.1362149,-0.83082604,-0.2766981,-0.10885121,0.2601811,-0.81015605,-0.5310168,0.43309388,0.20580769,-0.12811172,-0.6128592,-0.24451001,-0.033521935,-0.40561572,0.2921494,0.2836384,-0.32549024,0.1096701,-0.5780712,0.27493465,0.022658715,-0.08721951,-0.12142343,-0.10471438,-0.08150853,-0.668561,0.49316972,-0.087866254,0.039284676,0.44290915,-0.20145178,0.32846576,0.61329484,-0.19730277,0.020436086,0.37713695,-0.7007148,-0.6773697
SRR3986039,-1.1508936,0.096280605,0.7482412,0.10107015,0.12668072,0.7084624,-0.4299914,0.29791787,-0.56935203,-0.5986951,-0.17444701,-0.9796931,-0.6501243,-1.6628877,0.31555483,-0.085381635,0.54639167,-0.32133746,-0.19765735,-0.16897932,0.4196885,0.85969865,-0.5840752,0.8362908,0.23832785,0.5001418,-0.24483337,-0.11521362,-0.30503282,0.6250746,-0.62935114,-0.1685826,0.24576761,-0.89763755,0.12986577,-0.49241656,0.16079442,-0.90077376,0.91523707,0.2745626,-0.3209207,0.38344932,-0.14367916,0.3087864,0.8160784,-0.05309878,-0.11134135,0.0023321193,-0.71858996,-0.8303217
SRR3986041,-0.15374266,0.027535623,0.21587113,0.28639767,0.2180532,0.57854706,0.5130993,0.9762279,-0.27238005,-0.1340185,1.1254673,-0.23904957,-0.2588019,-0.8547852,-0.18893245,-0.04460916,0.2597848,-0.5051782,-0.08597048,0.7587297,0.35068434,0.3883912,0.2399923,0.033524018,0.24481115,-0.1496725,-0.1811429,1.2541109,-0.46477887,0.06194623,-0.11031146,0.39454883,0.34909278,-0.6417066,-0.7495068,-0.4339963,0.21241517,-1.3315111,0.64764637,0.05789425,1.3273164,0.3916261,-0.3391372,0.05093381,0.72321033,0.8705398,-0.50975126,-0.20386717,-0.564017,-0.63548297
SRR3986042,-0.13481084,-0.12512325,0.570194,-0.55248797,-0.14489378,0.62070507,-0.37383753,-0.043522626,-0.1589494,-0.32822666,0.19812329,-0.39775977,-0.50373834,-1.0041996,-0.015997382,0.06208117,0.69770473,-0.37417218,-0.109808475,0.031773575,0.22601618,-0.13031399,-0.19308843,-0.039687373,0.4933006,-0.5347177,-0.22378479,0.6239605,-0.21986389,0.4206754,-0.32299802,0.13637064,0.25489026,-0.0030115654,-0.1466961,-0.11999601,0.31529704,-0.7785609,0.19872575,0.28023896,-0.100188,0.0695644,-0.3620956,0.36989954,0.39259443,0.16480938,-0.3471372,-0.27517018,-0.4041898,-0.34081674
SRR3986043,-0.023192551,-0.009245785,0.57693636,-0.26910207,-0.17674069,0.7892889,-0.13299412,0.49469957,-0.02735819,-0.3926649,0.39807066,-0.46685717,0.29419902,-1.0940483,0.15666501,-0.014789947,0.15153682,-0.42954624,-0.53130186,0.11456853,0.35574332,0.44018146,0.21625242,0.18959026,0.26956263,-0.2594353,-0.27092677,0.08570081,-0.5391354,0.3421305,0.248462,1.2351278,0.37223223,-0.2570075,-0.104128405,-0.3729483,0.18858656,-0.8839819,0.34546062,0.2150525,0.55727327,-0.52994084,-0.022169342,0.57087916,0.6140419,0.6912349,-0.22977406,-0.2825721,-0.7212755,-0.26660845
SRR3986044,-0.014443059,0.22112831,0.036449462,-0.11061387,-0.15733585,0.1296617,-0.24827716,-0.16024731,-0.24140896,0.029094294,-0.08376463,-0.1937791,-0.30988058,-0.23414308,0.044978097,0.036222875,-0.04771142,-0.2708083,-0.123608194,0.31224576,0.15100387,0.08720016,-0.219946,-0.11701385,0.22464272,0.08159944,-0.122272074,0.5215041,-0.19218561,-0.12168365,0.04114356,0.32921818,0.02379878,0.023465257,-0.012908722,-0.43994713,0.14113815,-0.4026418,-0.020720968,0.12894681,-0.018318921,-0.041993223,0.057756897,0.005351893,0.110801935,0.048291758,-0.18061036,0.062104248,-0.21707152,-0.39870772
SRR3986046,0.096211,-0.24111497,0.388666,-0.7445126,-0.37731546,0.8429733,0.033025734,-0.30808753,-0.23011076,-0.12937523,0.3816477,-0.42634255,-0.42551118,-1.3147539,-0.31092966,0.44138193,0.52245706,-0.93444514,0.13330124,0.6267797,0.14242712,0.02179369,0.23976621,0.76741266,0.8021778,-0.09508763,-0.22026205,0.5456236,-0.38114977,-0.4935687,-0.40510982,0.05548095,0.5618672,-0.24344276,0.11103599,-0.315084,0.04108585,-0.85512793,1.194995,0.22792412,-0.0075327214,0.018495712,-0.0122741135,0.46472776,0.19688329,-0.28563863,-0.6614681,-0.33807236,-0.5462927,0.12653378
SRR3986047,-0.2599346,-0.021600517,0.28989413,-0.78221595,-0.62217313,0.15780172,-0.5325016,-0.19551514,0.2968485,-0.1533202,0.32230523,-0.77780515,-0.50155604,-0.7356637,0.14863782,-0.08532541,0.8227584,-0.28169313,0.46595046,0.40460128,0.25970086,0.15270963,0.19679429,-0.023294413,0.37362206,-0.15355253,0.18309064,0.5339146,0.12050683,0.16325408,-0.39506012,0.15117306,0.6290155,0.10786964,0.010726813,-0.48236686,-0.15620205,-0.83973116,0.083938025,0.39422238,-0.053823262,0.103434116,0.18688457,0.5962998,0.3976044,-0.06382889,-0.008684078,0.18314034,-0.39370894,-0.6032316
SRR3986048,-0.2557485,-0.08622276,0.308583,-0.52209777,-0.3810101,0.28055146,-0.33214244,-0.18895915,0.2573216,-0.3020151,0.05837622,-0.43478626,-0.46933305,-1.0474852,-0.001950216,0.26128054,0.64900464,-0.38250622,0.32078958,0.38455585,0.43172038,-0.1304157,0.2610281,-0.21080987,0.0752489,-0.68066406,-0.15511505,0.35665032,-0.2971046,0.15429226,-0.27561182,0.1373032,0.3550332,-0.23705934,0.03172822,-0.4301025,0.13293095,-0.74427485,0.6088969,0.28055885,0.26729608,-0.07547786,-0.1544203,0.055909507,0.44240922,0.12766851,-0.43789876,0.17513582,-0.46164045,-0.6025217
SRR3986050,0.08840902,-0.29435351,0.4021731,-0.9223929,-0.3627701,0.29872254,-0.427398,-0.14951041,0.1208609,-0.29360548,-0.028466135,-0.5731092,-0.014825638,-0.5678402,0.25691557,0.06965686,0.78829795,-0.3924209,0.17881964,0.67055345,0.06603585,0.16131234,0.13255459,0.09198185,0.5273014,-0.63973475,-0.42555046,0.0022851657,-0.16345072,0.19562344,-0.6317524,0.1294009,0.57201785,-0.24908324,0.18301071,-0.13189778,-0.04883976,-0.52493846,0.44457194,0.14189382,0.12744582,-0.017605936,0.18859455,0.8095076,0.59192014,0.0009915179,-0.058486033,-0.2722445,-0.54754704,-0.062430557
SRR3986051,-0.09810936,-0.0561509,0.67070556,-0.17286907,-0.30167148,0.65852416,-0.5919095,0.21926546,-0.080205545,-0.33394477,0.6320545,-0.49275413,-0.09571413,-1.5169913,-0.12105501,-0.00029066368,0.396776,-0.7559359,-0.25496477,-0.12091699,-0.04879765,0.009653188,0.12750486,0.2618315,0.778179,-0.73658013,-0.087290354,0.39227498,-0.1607832,-0.41844186,-0.39709544,0.033466212,0.051730067,-0.77963656,-0.042084437,0.043276224,-0.22654904,-0.85558987,0.6880229,0.15416023,-0.08773275,-0.47608078,0.23505175,0.6856409,0.53132224,0.44088054,-0.30340806,-0.18625633,-0.5536952,0.0830015
SRR3986052,-0.42775968,-0.039338674,0.5106522,-0.4031847,-0.5645898,0.5595509,-0.43677232,0.10066212,-0.116824985,-0.4904333,0.35399193,-0.36841562,-0.47660318,-1.0850196,0.17379037,0.059371583,0.09910401,-0.54635245,-0.21416095,0.29505247,0.27646306,0.1649465,0.14510517,0.25890118,0.06790759,-0.3369391,0.21326126,0.59019804,-0.24051183,-0.109353796,-0.04742022,0.21361753,0.2657561,-0.20218024,-0.2469104,-0.29143563,-0.11056526,-0.9823365,0.34503797,0.03241348,0.25923786,-0.04902894,0.26803988,0.35905427,0.04869896,0.1586346,-0.49250513,-0.22648585,-0.5781328,-0.37010193
SRR3986053,-0.03116404,-0.112250775,0.062407788,-0.21755044,-0.244135,0.17313924,-0.31288537,-0.23925675,0.13506857,0.00986651,0.09846941,-0.23670292,-0.2177447,-0.08662542,0.0024909943,0.006147472,0.33459842,-0.18117745,0.17610995,0.3283801,0.15392177,-0.091656044,0.010566768,-0.044190675,0.16164239,0.065269575,0.16180861,0.27019188,-0.0662224,0.080133304,-0.1038263,0.0941534,0.20828949,-0.0728891,-0.11200984,-0.17501736,0.10136517,-0.16673662,0.0042175725,0.22466016,0.013969478,-0.12624401,-0.048877988,0.21577774,0.14881794,-0.20108177,-0.14645575,0.06458371,-0.33005068,-0.15240322
SRR3986054,-0.63343346,0.16369554,0.13581327,-0.36226493,-0.10124263,0.4650473,-0.4551515,0.028135387,-0.0886531,-0.09026329,-0.00017273438,-0.1307908,-0.43115097,-1.0546644,-0.08518386,0.087214164,0.3222148,-0.65291226,0.33807826,0.37441698,0.0670123,0.11592637,0.0026677358,0.13316423,0.12861222,-0.5289718,-0.44282004,0.3359439,-0.30163735,-0.060204256,-0.5395164,-0.23238279,0.31305224,-0.31098402,-0.17891346,-0.63062686,0.043262582,-0.80017793,0.4798945,0.12030845,0.1664296,-0.16021775,0.06734071,0.47991353,0.17046781,-0.15973909,-0.23176429,-0.08250079,-0.64651155,0.08015982
SRR3986056,-0.052313194,-0.20015502,0.120899655,-0.72421956,-0.46366724,0.1779547,-0.49633387,-0.33305737,0.24438134,-0.21676083,0.2929085,-0.6833083,-0.2781262,-0.6818628,0.12725455,0.0075726397,0.5017755,-0.4290705,0.2833264,0.54386,0.27759108,0.14162312,0.11604225,0.06542989,0.14853373,-0.36309204,0.043946587,0.35482836,-0.0017681723,0.278373,-0.63779104,0.08042586,0.49003702,-0.018466173,0.21169889,-0.26248604,-0.06324512,-0.6075637,0.29901525,0.46401128,-0.020342028,-0.07479397,0.039947163,0.4963522,0.38974756,0.05761697,-0.14752878,0.15451542,-0.34645972,-0.542053
