Run,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
SRR3986024,0.2830994,-0.10377863,-0.07902079,-0.22260876,-0.056689292,-0.023382233,-0.14561957,0.18378721,0.04232877,0.14490315,-0.04569236,0.114705674,-0.27750483,0.46389952,-0.015587552,0.4561332,0.032311175,-0.20737855,-0.0036040517,-0.001783346,0.12817988,-0.4786627,-0.22148606,0.10099323,-0.29832667,-0.10950328,-0.11539001,0.12129479,-0.46288818,-0.15088871,0.28385586,0.33193377,0.07733743,-0.5477533,0.099649295,0.2838832,0.0026564214,0.29596373,-0.019945178,-0.24888699,0.1388942,-0.016161436,0.23258834,-0.21303132,-0.27530572,0.0019407356,0.092059635,0.14849919,-0.07228133,-0.026970277
SRR3986025,-0.42714503,0.08908764,-0.32361352,-0.67231715,-0.2839357,-1.3068427,1.2055242,-1.2274367,-0.054298863,1.0558778,-0.52915317,-1.0374732,0.91466564,-0.19841327,0.62352186,0.6322313,-0.22388838,-0.8622325,-1.3485222,-1.1250308,-0.93247813,-0.48093498,-0.03967137,-0.9095066,-1.2301452,0.8303377,-0.22006664,0.43067607,-1.3163905,-0.60170156,0.6092572,0.20659718,-0.019400807,-0.9670053,0.049840443,-0.016160415,0.81960905,0.6171712,-0.27309978,-0.81305796,0.1744241,0.5499185,0.041278347,-1.4233528,-0.021667296,-0.4982647,0.41248047,0.62240463,-0.4023299,0.15186596
SRR3986026,0.1462139,-0.1709295,0.1542775,-0.1869089,-0.41598874,0.17240158,0.0428534,0.20872247,0.11060144,0.4150623,-0.25607592,-0.28434384,-0.24643832,0.13305025,-0.067655526,0.4876272,0.42322883,0.045263465,0.15349375,0.12516548,-0.09097351,-0.50081646,0.10695629,-0.032009568,-0.49539,-0.23052178,0.09123212,0.05212435,-0.40106502,0.10037777,0.3618543,-0.0049195895,0.17896087,-0.40949965,0.25567552,0.27728683,-0.015418185,0.20307086,0.27660653,-0.5882837,0.21523404,-0.09712926,0.40995649,-0.33885446,-0.22230244,-0.14518203,0.08263854,0.33174306,-0.10119238,0.12053562
SRR3986027,0.1387993,-0.10044404,0.012449408,-0.06945572,-0.1677704,0.050349656,-0.1516068,0.013228712,0.08573214,0.14634293,-0.2609416,-0.051643625,-0.25549218,0.12270067,0.019529847,0.27843413,-0.02031819,-0.09426048,0.047301672,-0.08419532,0.046637647,-0.2627422,-0.10500174,-0.007660519,-0.17287582,-0.10841393,-0.044613842,0.052790698,-0.13658236,-0.008937078,0.16727477,0.10134243,0.096922934,-0.3542315,0.070717335,0.117881276,0.1424019,0.18734175,0.0765662,-0.2949145,0.27048245,0.11589826,0.16191061,-0.12152984,-0.18947461,-0.07413769,0.20589754,0.08033345,0.05038912,-0.079174206
SRR3986029,0.0037804318,-0.011088321,-0.15777358,-0.2688453,0.06533382,-0.020422984,0.033531226,-0.029920118,0.30372903,0.17843857,-0.23489906,0.17315996,-0.17137007,0.2125754,0.09201697,0.35816905,-0.05805817,-0.12187598,-0.048908733,0.001430861,0.0763949,-0.19712268,-0.4700619,0.040390808,0.013426928,-0.052611005,0.017131928,0.16276163,-0.36477655,-0.04772281,0.15082635,0.39519784,-0.071056195,-0.39885876,-0.014792274,-0.024450613,0.37718797,0.097557336,0.10461133,0.1005864,0.34622842,-0.0011696996,0.14172997,0.0002815866,-0.021428855,-0.101178914,0.28609142,0.013290978,-0.12551762,-0.11403985
SRR3986031,0.10929887,-0.04556775,-0.34310296,-0.23032667,0.057375345,-0.06591698,0.022307824,0.05755738,0.32424653,0.120253414,-0.32995257,0.07361737,-0.13712844,0.18517548,0.05572619,0.3892086,-0.0019231946,-0.110310264,0.049102463,-0.058349874,-0.004775302,-0.16472857,-0.34313518,0.04400303,-0.09116832,-0.19564223,0.09054598,0.12012862,-0.36319932,-0.1558823,0.25155824,0.47499764,-0.15419197,-0.47889733,-0.019463541,0.091158316,0.2817515,0.06331723,0.23374453,0.012966131,0.3150783,0.19220687,0.15948312,-0.05022777,0.062351383,-0.058693543,0.18005104,0.028184386,-0.17452042,0.014504505
SRR3986032,-0.014963864,0.50450283,-0.3151471,-1.0438321,-0.17187327,-0.7507978,0.38299432,-0.14257696,0.04973276,1.0663182,-0.0804031,-0.002609741,1.1717261,0.27523583,0.5624394,0.502229,-0.12872878,-1.3287176,-1.2395643,-0.1758477,-0.3556676,0.14260662,-0.5922001,0.19723284,-0.65400887,0.6582181,-0.31535637,0.30647296,-1.8795888,-0.77931416,0.49580503,1.1868025,-0.021514315,-1.0662531,-0.007245778,-0.009874677,-0.5168629,0.89107746,0.6980237,-0.41107574,0.2901673,-0.21528764,-0.14137183,-0.75160563,0.053227715,-0.32234246,0.75808835,0.804098,-0.43226874,0.61514735
SRR3986034,0.26105967,0.0967647,-0.42706344,-0.6353527,-0.22568183,-0.30318108,0.19009052,-0.19468473,0.2124859,0.9240504,-0.3312284,0.13322973,0.78790927,-0.05929765,0.18210538,0.3735869,0.0983524,-1.0095152,-0.95363927,0.11283392,-0.062450975,-0.26653782,-0.63641757,0.31138846,-0.40669566,0.48117468,-0.115927525,0.24468417,-1.2976686,-0.6502673,0.5071277,1.057992,0.32008022,-1.0423374,-0.16446736,-0.3302912,0.73917884,0.6788062,0.33263904,-0.29426935,0.3321013,-0.23202679,-0.18811771,-0.79879814,-0.13297173,0.16074531,0.105502956,0.4842561,-1.1037606,0.5210454
SRR3986035,-0.39816034,-0.44676018,-0.08535208,0.04333475,-1.7950581,0.3086053,-0.07824451,0.27526104,-0.6421741,0.90071434,-0.41054773,-1.2770697,1.0558525,-0.032184336,-0.016335942,0.34438384,-0.048514668,-0.6082856,-1.1062933,0.94590497,-0.7360627,-0.23205966,-0.24473305,0.32450894,-1.3037308,1.1342727,-0.74699485,0.17039241,-0.47745046,-0.8068775,1.1830821,-0.80278164,0.65662044,-0.5296889,2.1064558,0.54542774,-0.73737174,0.76866317,0.4453807,-1.9589041,0.39243087,-0.079054564,0.6678949,-1.0407517,-0.4962349,-1.1723827,0.123500295,0.5877842,1.0310205,0.2656847
SRR3986036,-0.56660753,-0.047467697,-0.27153754,-0.51712584,-0.085738815,-0.4910076,0.64718676,0.100159645,-0.23666164,1.2089485,-0.9144826,-0.19015278,0.3594368,0.23928927,0.036013424,-0.06615795,0.46340775,-0.82916266,-0.23457578,-0.101865,-0.72951496,-0.21187952,-0.64995855,-0.46862665,-0.7044867,0.56135875,-0.03605753,0.5717189,-0.56104815,-0.45903307,0.8392081,0.14425467,0.24797018,-1.3639321,0.37810645,-0.3460374,0.42805466,0.7866082,0.42321476,-0.9181082,-0.057345226,0.5471717,0.279746,-0.80241084,-0.44657743,-0.6556568,-0.32105598,0.50356466,-0.7231639,1.0265859
