"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"SRR3986024",-0.524886820030653,-0.335196471905909,0.325660700331245,0.081596703072053,-0.179896274919673,-0.111361252787631,0.143681231354919,-0.233608534753052,-0.074133604147583,-0.262903446168286,-0.209923388442161,-0.0929333837116485,0.0647162898141409,0.177663613344943,0.0216559878564017,0.211367417277889,-0.0101349864029702,0.1127413393725,0.0569444144895501,0.0523032665901976,0.0818285223417044,0.157641585837059,-0.16285024365656,-0.311980158036851,-0.0608401205788211,-0.0905835200402868,-0.206757896580823,0.0946606238181632,-0.0171446142764942,-0.0822744848948844
"SRR3986025",-0.340957396618685,0.0447810851503675,0.599733122235658,-0.323142128172219,0.0837138213828246,-0.114313574150318,0.0550070540227792,0.0945000599764685,0.0846549756938937,-0.106905249549,-0.166461858438109,0.165095723356254,0.0722209749196421,-0.0433588590849738,0.00488614256617739,-0.0877465219754062,0.038679485106841,0.0734447681566181,-0.0508806191568393,-0.147525758115668,0.0227601470106771,-0.033915228986503,-0.00159287738362478,0.00948678593633231,-0.0349256238225355,-0.00959758323748092,-0.0198238149904021,-0.0478484766273175,-0.033599074884389,0.00359435603144808
"SRR3986026",0.0277336923430699,-0.78701148095449,0.0424221630119337,-0.0143261269699168,-0.231976960457228,0.166598918575364,-0.26150474854436,-0.318915023124927,0.15598808053246,-0.0892771118926268,-0.00651485560709581,0.0830260151139008,-0.119955308806779,0.0668948025224003,-0.302311928420555,-0.0398792562911195,-0.264300717122484,0.00110959734387719,-0.00945663995316961,0.204559120685463,0.172811869239952,0.240361499038106,0.0330924115451087,-0.0479650109183189,-0.0203339206512695,0.00417456386131109,-0.0584363230188302,0.102022581389152,-0.0137254737232204,-0.0630948209817951
"SRR3986027",0.0841328399593601,-0.524978968262806,0.239937806635209,0.273547805237735,0.0478770060767445,-0.0658131187974361,0.163638767504443,-0.252093164153076,-0.0376111678370946,-0.194539873510322,-0.218728158161028,0.096729684783004,0.14351334374242,-0.18676962510667,-0.000821805164178888,0.0167018784925173,-0.179150147715892,-0.153560873744855,-0.110546999254179,0.0925985572597653,0.139670525394655,0.121096672072247,0.0631102517461053,0.00459993615388078,0.0122360312817281,-0.0870357758643468,-0.126181391223168,-0.0682659839448751,-0.0914419043070608,-0.0621038737249636
"SRR3986029",-0.524940841073763,0.136095327877913,0.612725904332051,-0.248329203870121,0.483533335614258,-0.0567574130082148,0.562838869760345,-0.148290187814081,-0.464048247760824,-0.0179661572723624,0.00505363773946496,-0.238182809167154,0.173707846992735,-0.112708872461997,-0.294991901855551,-0.134724180120748,-0.275764828727796,-0.126739822203807,-0.00303530275709264,-0.157192434740154,0.039806786615398,0.0263514185892467,-0.203778068183033,-0.20026710142968,-0.164692451520236,-0.139518272230196,-0.0420273437757312,0.00927229196326651,0.0347750283154904,0.0486817789171367
"SRR3986031",-0.185805151792904,0.104178486534357,0.437034994981512,-0.0814949431284718,0.064600017791799,-0.150600360135267,0.336844455838745,0.0487618057859383,0.0957623006827467,0.14913748579635,-0.0627607910128277,0.103359082796028,-0.0492693531983863,0.032646951944627,-0.187520804089845,-0.0742046667177315,-0.136891862001135,-0.127546840778875,0.013186839842836,-0.112976355269789,0.0757653823887406,0.184161117094132,-0.117457885611011,-0.092296419247208,-0.040474698247355,-0.0144096740645615,-0.172000538688817,-0.109938202410535,0.125054775477876,-0.119192314231746
"SRR3986032",-0.31697388928555,-0.166503173921144,0.935083454569413,-0.236253486866897,0.107327217868808,0.162565473317026,0.0665499866130352,-0.18909433949011,-0.0771291484230637,-0.197031072530141,-0.127879692946242,-0.00254065905563377,0.0324523569182325,0.0551988644411201,-0.0464937587447641,0.0565186404421782,0.119093231359696,0.00646580159215017,-0.0420600472505707,0.0259945276415635,0.00557810494713269,-0.0636838914223943,0.0169919904617951,0.0725723965845203,-0.029149204701417,0.174929928099198,-0.000984870927575215,0.00690885192053272,-0.0103596539832607,0.05636635492798
"SRR3986034",-0.026346816937805,-0.0568072633766694,0.65363284829727,-0.0543730782633638,0.198493064036614,-0.192028206606901,0.0221325797930188,0.240197711178674,0.0486268830798262,0.0821455447940921,-0.0336129541745531,0.127232776569136,0.0118115758212448,-0.0937550272424837,-0.0828589688988859,0.0411894695928376,-0.0109399775979318,0.00954656458144868,-0.0807171791142219,0.00812961727689853,0.067370142867504,-0.0996755402601413,-0.0431768370228952,-0.0638111882568392,0.0682672395321095,0.0109509571046765,-0.0348156396731788,-0.02170480000002,0.0456049854901737,-0.00188926577244884
"SRR3986035",-0.450474781953805,-0.525262048610539,-0.0592710521589504,-0.128870635837318,0.00701179469926523,0.150924726276182,-0.0553285815618416,-0.123200369775951,0.0420232392246787,-0.137493817376157,0.0245301257823515,0.0306119847353564,-0.0663453036428818,0.0628977795034762,-0.0357283780186702,-0.0191706649326248,0.0202524436130503,-0.0692623717411145,-0.0164703713771773,-0.0233827827131235,-0.0704620679133228,0.0507679595155857,-0.0265339485379688,0.0113283764361636,-0.0283608051301973,0.00716689884710884,-0.0207736152594972,0.0279551170010789,-0.00821937317691208,-0.0158652413047772
"SRR3986036",-0.2579025856509,0.391724877028475,0.344335753899985,-0.22077907889288,0.445887118384113,-0.0153578005027763,0.0370581410849179,0.0438613517333721,-0.125334489432026,-0.0778804890014431,-0.0675011891690442,-0.0695114534084177,0.100959491100728,-0.127268468315036,0.0250957667532339,-0.0460991503405403,0.113149371962162,-0.0335816342854791,0.0978033070548709,0.0507739292518237,-0.185175003170873,-0.0885666345479842,-0.0442907760772251,-0.0210189357715427,-0.0431651186533093,-0.0764500829939604,-0.0617871235959077,-0.0126362975676323,0.0776855204155938,0.0102502033244222
"SRR3986037",-0.527562804318918,-0.2695622942996,0.435671267513947,-0.456013699532294,0.00328923016280414,-0.0784690461377389,0.00420263466263751,-0.070172764782903,0.0561190869108391,-0.261306091498599,0.161191085697015,-0.0914351984162351,-0.172577878341337,0.171366245597275,-0.00462637986636752,0.167242106562193,0.157446702593109,0.140485942386355,-0.192400003369829,-0.173680154230541,0.150678176079718,0.00603839756531245,0.064892650109381,0.00425313242046825,0.0105978960052895,0.0831732404103263,-0.00618681253184996,0.0300560214197328,0.0062705555815764,-0.122231405614556
"SRR3986038",-0.16808294886508,0.0738725714347953,0.339601778160718,-0.0828099269104272,0.227651536562649,0.117528693592572,0.216491368886982,-0.0889822504752018,-0.0313185668862475,-0.0826949463251579,0.0559417049162534,-0.0255114162459588,-0.0231210199848706,0.0757136263416122,0.109602051711069,0.0135188215523031,-0.0732570354281273,-0.0581123147473172,0.0567372409826897,-0.14054713963906,0.00693268548312912,0.0216208411556876,0.031739634729196,-0.000453256311793575,0.0425798511685479,0.0136438565046214,0.0192364714729295,0.0300339496316513,0.000146631575754768,-0.000101921575963611
"SRR3986039",-0.369698311550222,-0.326221131203298,0.372611557962854,-0.229805733144149,0.0246297677542857,-0.0361399740010035,0.0338663165517781,-0.183579479002319,0.040900350032915,-0.0341702366432796,-0.0832474565809153,0.0215187443844492,-0.0446252555022835,0.0879414009958167,0.00853595151365034,0.05261085110738,-0.00416620710635005,0.0667992199063255,0.00141604893020256,-0.048138948829984,0.0427701431518504,-0.0902217033106827,0.0159647349921155,-0.0560879482843618,-0.0242464277445675,0.0217147245591515,0.0558229956003979,0.0255079571050616,-0.0556514747216306,-0.000406166813248236
"SRR3986041",-0.151081316442062,0.0347687572727272,0.22616817408457,0.096788108642316,0.30013686184229,-0.0538449059185944,-0.0979203199320855,-0.0111511413211447,0.00212239631357601,-0.129108886921501,-0.0814531040952107,0.0313542761814523,-0.0545912079746,0.0170203925981687,-0.0179779737078518,0.167827678906176,-0.0810440953017469,-0.051196086828333,-0.046883501326571,-0.008479219254178,0.031713567061,-0.00406115196522702,0.0870044454016362,0.0310115448343217,0.0524020548586604,-0.0569517273607337,-0.0543243972868076,0.000754420049652144,0.0299071586737966,-0.0184926979252373
"SRR3986042",-0.236987165638912,-0.0312822494201954,0.667820853972722,-0.19593458012508,0.124908101716542,0.216676191917531,-0.0512570074275322,-0.29606176582562,-0.0743010784856783,-0.175138971782413,-0.20880062584004,0.16435162203958,-0.168129291853648,0.0579884541594954,-0.00535674624591283,0.086049650532237,0.00607577981769317,0.0702236456643795,0.0239768141127497,-0.0104619446861347,-0.0590579156430142,0.0727361345818134,-0.007914571572495,0.0424992469609294,0.0455806053395903,0.0541109681678779,0.0430830581479269,-0.0528893731475692,0.0253801779027338,0.0131341412190685
"SRR3986043",-0.182279994395785,0.158113283264863,0.579993138489988,-0.0525164985767792,-0.102963561989017,-0.0275104335171401,-0.233619630958365,0.00106354142972637,-0.0155530520596863,-0.101634716435786,-0.0577561457660875,-0.0024805734700549,-0.0835469725446814,-0.0854955654529689,-0.16270655813289,-0.11343409536182,-0.0929365069338983,-0.0349117690550657,0.166167726555129,-0.0520642723518797,-0.0147080811032121,0.0380236934315829,-0.0502865540513681,0.0725311633330591,-0.0190926272005045,0.0796957248361766,0.0739950609179642,-0.0675320299632735,0.056473341532017,-0.0272548547308764
