"","LSI1","LSI2","LSI3","LSI4","LSI5","LSI6","LSI7","LSI8","LSI9","LSI10","LSI11","LSI12","LSI13","LSI14","LSI15","LSI16","LSI17","LSI18","LSI19","LSI20","LSI21","LSI22","LSI23","LSI24","LSI25","LSI26","LSI27","LSI28","LSI29","LSI30"
"SRR5355030",-4.72038277693884,1.60356907264513,0.115275240301647,0.848311572585556,-1.10215324033428,0.0730804941774598,0.374442238880637,0.716369590154881,-0.117303268954966,0.338890586315829,0.0705394698190619,-0.0830193724492349,-0.156111347960025,0.0314958244239354,0.200702948366109,-0.205477263336617,-0.256757076918749,0.442488577429912,0.248006127977926,0.537677299326982,0.154319705990825,0.0818478134362767,0.266872038825802,0.275081543976768,0.354592347311298,-0.29980820728128,0.0945225331025656,-0.263706442608009,0.450104421506287,-0.0734704497728879
"SRR5355896",-4.86047240279684,1.11296752134175,0.71588473999126,0.382564209408693,-0.796412083308524,0.229050086729285,0.260839873312899,-0.181552214941302,0.0515890438275521,0.209228107743449,0.143201917634015,-0.321644202665162,-0.550608967640541,-0.411428211268004,0.276586814809978,-0.162587550049237,0.701163002906922,-0.0615187689177944,0.504537938926126,0.0469901630397747,0.0208615624475658,0.309886902087872,-0.0695504143267996,0.152927438507519,0.218749642039148,0.173624829817846,0.673779902233158,0.501494389267524,0.269867547426192,0.459979182415678
"SRR5354664",-4.91724257339205,-1.12195245578546,0.58667700663465,0.0982247687738454,0.19609931202296,0.233656883543418,0.0958219320628085,0.77877668582835,0.0801520160712915,0.134204575164494,0.187749639527909,0.21319421272514,-0.0828024545139077,0.293496247897907,0.602589352858368,-0.689763729096612,0.63031108198698,0.0974104096024915,0.307247731175451,0.43520930495643,0.0290522665997533,0.187349321317804,0.110465515916672,0.0509209133742602,-0.0542722747422826,0.394267727108657,0.416845070407288,0.501675123925306,0.343426825218553,-0.138790437170479
"SRR3986165",-3.79258785466381,1.4339066026066,0.191676613582649,0.986963385666614,-2.37714249987974,-0.405762166855336,0.412937674830083,1.22430659364432,0.903317857333768,-0.563471245659754,-0.0941090757198745,1.27417951884667,-0.0459385358907303,-0.0803774613029027,0.162861351012943,0.575610623243906,0.362464244697153,0.17287417136044,0.178451264205561,-0.257702066638699,-0.134139579455681,0.0396521090740338,-0.262137091018874,-0.314813465710703,0.192923060340963,0.529583215283574,-0.0803583892602728,-0.0672736929273893,-0.350185432099199,0.184290271353692
"SRR5355015",-4.71722730729673,1.80925570324366,0.0371809938040104,0.68857808643954,-0.838309342233743,0.12714681481888,0.281623363040966,1.21456563474516,-0.200169596770758,0.155673705199359,0.0389419910817655,-0.0745262860470485,-0.225939201734124,-0.344714685517889,0.108407377499386,-0.179110993692251,-0.0250026340467503,0.0744527028039596,0.0370906343672281,0.319407480925177,0.26317714028775,0.163464157652119,0.144909728529466,0.215687632108001,0.157016705133013,0.0685581988657895,0.209437050960238,0.190899929403292,0.229633446806666,0.0698915696238675
"SRR5355598",-4.19348761545274,1.98343950323902,-0.525149460339576,-2.00515502119689,0.695877161220775,0.175911760818416,0.164437290281647,0.0512368287210319,0.31769578022837,0.248293806899952,0.156916184690644,0.674135552984042,0.0364311858406241,-0.0224752342154439,-0.0288581715830734,-0.250039052564082,0.479885463756147,0.147797172466447,0.671191186111272,0.727512850796064,-0.40075550035437,0.126629112850578,-0.0126400230435435,0.04605396080869,0.226046833416285,0.480556166647443,0.330560295121059,-0.355283821530042,-0.01030771193054,0.0635435153117951
"SRR5355559",-4.68905918876636,0.704890746397895,0.2736141335712,-0.516979502255518,0.38836191566454,0.0730938758332018,-0.00393923008320748,-0.0920970824654305,1.12395865871417,-0.274702023647913,0.526356304616287,-1.0999369412395,0.276964083722341,-0.336027958151536,0.0184011951757983,0.771550462391874,0.369970735316641,0.189705844552563,0.388362566392173,0.374339897780843,0.0858538693748797,-0.0619302078332865,-0.0237467160678159,-0.0304671807983124,0.461779404549452,0.719231979648114,0.385600385593555,0.554792450676313,0.259061422706082,-0.817003901369046
"SRR5355139",-3.50018339864738,-1.45284582602197,0.811731269246268,-1.05585728557436,-0.527538725579164,0.148916716550929,0.0960957658282649,0.229460813329205,-0.848958321096012,0.405979601647383,-0.296753810459029,0.329701501486515,0.0275749732831538,-0.756281675971967,-0.353059183172511,0.491100013153202,0.325834257353604,0.509261699056046,0.344964110983341,-0.871519573562467,0.371631045862281,0.198907181162653,0.588980664146417,1.46034477448251,1.78427332555576,-0.13972711471747,0.239261110628836,-0.145348845776757,-0.21881427119692,1.80286920801964
"SRR5354249",-5.12984795218434,-0.478083730657395,0.733521593802187,-0.174154222138393,-0.283516908238751,0.224713977608661,0.25410965861909,0.0854261346420039,-0.0724921263794606,0.285705039288505,0.222936910917863,0.278621027319037,-0.105713266856134,0.283866021852704,0.509097817200089,-0.1551611670674,0.604116342087731,0.283892710534041,0.20847347390467,0.328320060585125,0.247193200083145,0.239080464656819,0.129092439616672,0.120758067642253,0.211834785313548,0.379808257696013,0.164119727789428,0.114854888071307,0.258824639916832,0.230602134374146
"SRR5355940",-4.69198213252228,1.26399646329316,0.405849031011474,1.00887477977358,-0.644423187961445,0.133774746761073,0.23827601163931,0.974067442954485,0.239186670371435,0.273063693877889,0.441329223574467,-1.2226408551524,0.0749768239415154,-0.0597960844027376,0.229111100851445,-0.332626580443831,0.133770400284671,0.0388701556438032,0.240930979524385,0.510211106771331,-0.064758559224253,0.0791930758291336,0.236533780374782,-0.107535274669435,0.269106306068992,-0.250725436417244,0.217125288287359,-0.0355015680908419,-0.0141402161160347,0.415882814166213
