Run,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
SRR3986024,0.02721931,-0.16917618,-1.2307929,-0.9753907,0.6705105,0.7868884,-1.2965128,-0.146697,0.04537398,-0.24280316,-1.1275544,-0.26579425,0.09449477,0.10247771,-0.39620763,-0.847622,-0.57009983,-0.657691,-0.1857767,0.046187673,0.10199285,-0.23771426,0.5267358,0.7445613,-0.7748341,1.3366226,0.24108852,0.95316607,-0.26526546,-0.16697523,0.21158567,-0.43207836
SRR3986025,-0.16672571,0.5830146,0.25981835,0.56115896,0.34608442,0.29534355,-0.73222375,-0.5610958,0.52613413,-0.1054145,-0.54693013,0.080107845,1.3216441,-0.2886888,0.07897515,0.3180802,0.5623319,-0.30487067,0.6638438,0.05633392,-0.26354247,-1.2945715,-0.01968597,0.29612705,0.59197265,-1.0893432,0.84480387,0.6032204,0.2980533,0.2472438,-0.8471275,-0.23864207
SRR3986026,-0.022134516,0.12111459,0.6519295,-0.2511173,0.30670688,1.2566377,-1.0455323,0.0777515,0.047852207,-0.735097,-0.5900062,-0.335099,0.17119297,0.298007,-0.98828137,0.7258993,0.22430244,-1.3835826,1.4907514,0.05688417,-0.81746113,-0.16887483,1.0854717,0.23733805,-1.1936461,0.8620673,-0.46552697,0.4206529,-0.36470312,-1.1020406,0.010880536,-0.8123849
SRR3986027,0.19140887,0.6448006,0.07411915,-0.45058274,-0.25083837,1.0949332,0.12598597,-0.46429464,0.90415585,-0.7924652,-1.356289,0.029054025,0.4282601,-0.22022969,-0.7033581,0.21722156,0.14028235,-0.7199482,-0.04321363,0.391425,-1.1150087,-0.5468776,0.3253022,0.03710476,-0.026897816,0.84030724,-0.055075716,-0.07589237,0.40674758,-0.42732513,-0.029084468,-1.2303237
SRR3986029,-0.17586102,-0.11784311,-0.31533924,0.3342094,-0.6311167,0.2898657,-0.91740435,-1.0208951,0.05080228,0.11548709,-0.43278408,0.30975017,1.1885513,-0.56911373,0.19727787,0.5746005,-0.5893277,0.4966451,0.8306433,0.63660777,-0.85715294,0.050684404,0.07778453,0.52219474,0.51511747,-0.32578567,-0.5194208,-0.08722286,0.3024024,1.1504055,-0.33092335,0.038432077
SRR3986031,-0.050030407,0.3949344,-0.20645763,0.5127094,0.14615929,-0.3532096,-0.44623023,0.049796093,-0.31736588,-0.3563113,-0.50042796,0.51103646,0.34373692,0.45417368,-0.038356066,-0.22996835,-0.55370665,-1.2439282,-0.2318217,1.1060963,-0.31130123,-0.45707676,0.1317854,-0.5626474,0.82740146,-0.72292036,-0.25705063,0.6167217,-0.5252732,0.9502124,0.79207957,0.029981714
SRR3986032,0.20935784,-0.19500835,0.2756383,0.843525,0.36440617,0.35994428,0.15947106,-0.6173496,-0.14716353,0.49929568,-0.55342644,-0.3415927,0.6165485,-0.08418227,-0.20194323,0.5159719,0.42920318,-0.14119491,-0.30448163,0.51845366,-1.0290115,-0.31273106,0.2669407,0.439668,0.8807602,-0.2025176,0.0776194,0.3409093,0.4766021,0.97140354,-0.16162132,0.6673898
SRR3986034,0.3825519,0.04906191,-0.078621954,0.659773,0.074799605,-0.31089583,-0.08399129,-0.7345718,-0.5974075,0.28809744,0.22222179,-0.6357503,0.5046333,-0.8441232,-0.009030241,0.8301785,0.17733285,-0.34380767,-0.0010543544,0.14026843,-0.9710723,-0.48798284,0.09537163,0.67281216,0.869586,0.15615077,-0.49986458,0.7350876,0.58686966,0.7838843,0.4134523,-0.102422535
SRR3986035,0.14508735,0.19417118,0.09577217,-0.2123128,-0.8608232,0.85191053,-0.88339615,0.18895741,0.38410035,-0.3865847,-0.47982296,0.30768558,0.46755582,1.0889657,-1.1796825,0.15837285,0.8763628,-1.4983634,0.38845682,-0.7597896,0.8487352,-0.038217105,-0.78921753,0.2683341,-1.4150797,0.5203014,1.2434285,-0.14628044,0.69453734,-0.6794883,-0.049186334,-0.5033848
SRR3986036,0.08161859,0.26763046,0.11504665,1.1274813,0.6680437,0.31288773,-0.7570514,-0.30170974,-0.07107297,0.046207692,-0.085420676,0.41655836,0.06609182,-0.015235329,0.017421212,-0.33231518,-0.5401006,-1.1755197,0.55343884,0.12964502,-1.0261465,-0.12712388,-0.41042554,0.2348002,1.0708681,-0.5418367,0.13571711,0.12968732,0.02747402,-0.081120685,-0.28903198,-0.045047965
SRR3986037,0.23201756,-0.17895721,-0.11404865,0.119230784,-0.5407114,0.695149,-0.2521663,0.33629867,0.366723,0.4408672,-1.7826099,-0.6725252,0.2115246,0.07668819,0.061104942,0.38944283,-0.24267185,-0.7828894,0.38136715,0.3628656,0.25783345,-0.039302938,-0.5812453,0.44317585,0.28469738,0.21756935,-0.5496949,0.4997017,0.3803952,-0.68190086,-0.76657754,0.38695836
