Run,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
SRR3986024,-0.7385611,-0.8135275,-7.4010334,1.5216094,-1.4812059,1.9460347,-1.60025,-0.35843056,1.0858544,-3.6631515,3.2031465,0.5081515,-1.1366514,2.6675546,-6.2090216,-2.7794867,1.2269547,-2.0303123,-2.463746,3.5253794,1.323869,-2.4528039,-0.57852,-0.7544991,1.8765085,-4.6253643,0.7611764,-4.027748,-5.1077757,-0.36159718,-1.872789,4.0351214
SRR3986025,1.2425005,0.10335244,1.0806804,-0.5312624,0.6311027,-3.3173397,-1.6835306,1.3410454,1.253219,-0.38088164,-2.3062828,-1.9058034,0.1397916,-0.605068,-1.6408012,-0.32921815,0.548851,0.83830154,0.12764056,0.37217158,-2.7412581,-0.6944418,1.1970603,-2.883237,1.3387821,-2.2212443,0.676203,0.6364103,-2.4028754,-1.6947939,0.34740204,-1.3859135
SRR3986026,0.57727796,0.011822133,-1.927409,-1.2123191,0.0489344,-1.9538642,0.93796945,1.4387063,1.0475712,-3.2133262,0.73595154,2.548956,-1.7833315,0.9259169,-3.0139754,0.44914237,2.117279,-0.55311406,-2.5833304,2.1062567,2.0189762,-1.0302488,-1.214034,-5.252239,0.8169208,-4.1467795,1.8625433,1.2104417,-5.1316705,-4.207864,-2.0022902,1.8301579
SRR3986027,-0.078510515,1.1547165,-2.2389374,3.579144,-0.99473596,-1.0019029,-3.5140576,2.5061579,-0.51093996,-3.1262026,-4.4967723,4.280961,-3.5293489,0.6708493,0.085602656,1.8269899,-0.39241877,-0.3931065,-1.3908004,-3.198202,-0.26759455,-4.216065,0.3840247,-4.260075,1.2401043,-2.1836767,0.36429232,4.4502125,-1.6511151,-0.9497031,0.41152203,-0.053696398
SRR3986029,1.991075,1.1267687,-0.547365,2.4149017,1.2911559,-3.3325107,-1.438866,-3.4874926,-0.4615971,2.1793573,1.6265507,-3.2701645,-1.9717778,1.7022351,-2.75623,-2.1842926,0.7366968,0.2838232,-1.038677,-2.6801593,-0.4111647,-2.7949958,0.17999855,-5.943133,1.7779603,0.6571222,-0.9078996,-0.5969313,-2.839472,0.64852124,1.1294585,-0.03237455
SRR3986031,-3.3614492,0.35493937,-0.27353266,0.75468206,1.694138,-0.018168617,-1.7371982,1.2696309,-0.96961117,-1.4889708,-0.93885416,-2.7108483,0.19794272,-1.554668,-5.0562487,-5.4534597,0.5626117,-0.99270827,1.2233952,-1.984024,0.14381525,1.4904963,0.18401334,1.747879,0.9042154,-3.3251312,1.4940735,-0.6290054,-4.415437,-4.031217,0.11948488,0.4506001
SRR3986032,-2.573792,0.35764828,-1.1274191,0.7215004,0.42760268,0.1225004,-1.0275974,0.0900356,0.3075361,-1.4761492,-2.3390996,-1.7687502,1.1260097,0.5130464,-3.0227697,-2.643587,1.6851857,-0.32916564,-0.1558171,-0.8681318,0.71637094,-0.20681539,0.56078863,-2.393159,0.93224066,-2.6049275,0.45262316,-1.1332608,-1.8576137,0.8992384,-0.2929994,-1.5951107
SRR3986034,-2.3189147,0.96142685,-1.2989699,0.25683573,1.0033172,-0.7550059,-2.793169,0.010372989,-0.9983752,-1.6746602,-3.651146,-4.2083635,0.5577916,0.7611197,0.2850364,-0.20214346,0.46732432,0.6974749,-0.073562756,-1.6929927,-1.2706678,-0.42405885,-0.39649314,-1.7843894,-0.37398168,1.5174949,1.1653112,-1.0966854,-1.5720761,-0.3270753,-0.11812858,-0.7634077
SRR3986035,1.3739791,-2.1152918,-0.016340261,0.041190226,-0.062116135,-2.6900864,-1.1520373,1.1370174,0.34597948,-4.9805636,0.62195504,0.26358306,-2.1952474,-0.3081965,-0.90422654,0.33641145,-0.50687927,0.04259915,0.46448088,0.07199483,2.077176,-0.2154687,0.61366135,-4.1733766,-0.5271061,-2.9908788,0.100774676,0.9448681,-1.7421696,-1.4716762,-1.8855582,-1.0879749
SRR3986036,-0.8828229,2.0254376,-1.5279919,0.03478851,0.63521796,-0.24237627,0.11622604,-0.49763402,1.4197428,-2.7238877,-0.12823826,-0.7069311,0.55903906,0.059528183,-3.1657398,-1.8036802,0.62911236,-0.85844797,0.1396744,0.6623891,-0.43789262,-0.20253138,0.0049415026,-1.5903248,0.29962432,-1.3381292,-0.8193296,-0.4858901,-4.5777965,-3.443376,-1.178528,-1.9654893
