"TF","motif","db"
"SPIB","M00155_2.00","CisBP"
"SPIB","M00155_2.00","CisBP"
"IRF1","M00805_2.00","CisBP"
"CEBPD","M01789_2.00","CisBP"
"CEBPG","M01817_2.00","CisBP"
"RUNX2","M02751_2.00","CisBP"
"MAFF","M02853_2.00","CisBP"
"EBF1","M02963_2.00","CisBP"
"MEIS3","M03094_2.00","CisBP"
"GATA1","M03760_2.00","CisBP"
"GATA1","M03760_2.00","CisBP"
"ATF3","M04289_2.00","CisBP"
"FOXP3","M06201_2.00","CisBP"
"PAX5","M06438_2.00","CisBP"
"JUND","M07814_2.00","CisBP"
"HOXA9","M08138_2.00","CisBP"
"TCF12","M08731_2.00","CisBP"
"HOXA4","M09174_2.00","CisBP"
"IRF8","M09235_2.00","CisBP"
"MEF2A","M09251_2.00","CisBP"
"RARA","M09294_2.00","CisBP"
"ESRRA","M09319_2.00","CisBP"
"TBX15","M09650_2.00","CisBP"
"CEBPA","M10024_2.00","CisBP"
"CEBPA","M10024_2.00","CisBP"
"CEBPA","M10024_2.00","CisBP"
"FOXO4","M10549_2.00","CisBP"
"LYL1","ENSG00000104903_LINE195_LYL1_I_N3","chromVAR_human_v1"
"STAT1","ENSG00000115415_LINE3478_STAT1_D_N1","chromVAR_human_v1"
"ID3","ENSG00000117318_LINE151_ID3_I","chromVAR_human_v1"
"TCF4","ENSG00000196628_LINE303_TCF4_D_N3","chromVAR_human_v1"
