"Run"	"Sample Name"	"Title"	"Cell_type"	"Donor"	"Assay Type"	"AvgSpotLen"	"Bases"	"BioProject"	"BioSample"	"Bytes"	"Center Name"	"Consent"	"DATASTORE filetype"	"DATASTORE provider"	"DATASTORE region"	"Experiment"	"GEO_Accession (exp)"	"Instrument"	"LibraryLayout"	"LibrarySelection"	"LibrarySource"	"Organism"	"Platform"	"ReleaseDate"	"source_name"	"SRA Study"	"discard"
"SRR5355030"	"GSM2541958"	"singles-BM1214-GMP-160421-22"	"GMP"	"BM1214"	"ATAC-seq"	152	68256968	"PRJNA379613"	"SAMN06614916"	26627575	"GEO"	"public"	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	"SRX2651255"	"GSM2541958"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5355896"	"GSM2542829"	"singles-160809-scATAC-BM1137-GMP1low-LS-29"	"GMP"	"BM1137"	"ATAC-seq"	152	61337624	"PRJNA379613"	"SAMN06615870"	25972985	"GEO"	"public"	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	"SRX2652121"	"GSM2542829"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5354664"	"GSM2541592"	"singles-20160726-scATAC-BM1214-CMP-LS-40"	"CMP"	"BM1214"	"ATAC-seq"	152	67899920	"PRJNA379613"	"SAMN06614373"	27656096	"GEO"	"public"	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	"SRX2650889"	"GSM2541592"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR3986165"	"GSM2255242"	"singles-PB1022-mono-160128-45"	"Mono"	"PB1022"	"OTHER"	152	49913760	"PRJNA299657"	"SAMN05462763"	20981758	"GEO"	"public"	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	"SRX1988183"	"GSM2255242"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2016-08-22T00:00:00Z"	"Monocyte"	"SRP065190"	FALSE
"SRR5355015"	"GSM2541943"	"singles-BM1214-GMP-160421-7"	"GMP"	"BM1214"	"ATAC-seq"	152	101306328	"PRJNA379613"	"SAMN06614843"	40278685	"GEO"	"public"	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	"SRX2651240"	"GSM2541943"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5355598"	"GSM2542531"	"singles-160818-BM1137-pDC-LS-19"	"pDC"	"BM1137"	"ATAC-seq"	152	50831688	"PRJNA379613"	"SAMN06615737"	18794270	"GEO"	"public"	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	"SRX2651823"	"GSM2542531"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5355559"	"GSM2542492"	"singles-BM0828-CLP-frozen-151103-76"	"CLP"	"BM0828"	"ATAC-seq"	152	65941704	"PRJNA379613"	"SAMN06615505"	24938886	"GEO"	"public"	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	"SRX2651784"	"GSM2542492"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5355139"	"GSM2542067"	"BM1077-MEP-Frozen-160107-35"	"MEP"	"BM1077"	"ATAC-seq"	152	94338496	"PRJNA379613"	"SAMN06614881"	34203384	"GEO"	"public"	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	"SRX2651364"	"GSM2542067"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5354249"	"GSM2541171"	"singles-160819-BM1137-CMP-LS-9"	"CMP"	"BM1137"	"ATAC-seq"	152	43586456	"PRJNA379613"	"SAMN06613746"	16415096	"GEO"	"public"	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	"SRX2650474"	"GSM2541171"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5355940"	"GSM2542873"	"singles-160809-scATAC-BM1137-GMP1low-LS-73"	"GMP"	"BM1137"	"ATAC-seq"	152	73604176	"PRJNA379613"	"SAMN06615676"	29450365	"GEO"	"public"	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	"SRX2652165"	"GSM2542873"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5355935"	"GSM2542868"	"singles-160809-scATAC-BM1137-GMP1low-LS-68"	"GMP"	"BM1137"	"ATAC-seq"	152	87543792	"PRJNA379613"	"SAMN06615681"	35240022	"GEO"	"public"	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	"SRX2652160"	"GSM2542868"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5355138"	"GSM2542066"	"BM1077-MEP-Frozen-160107-34"	"MEP"	"BM1077"	"ATAC-seq"	152	101049448	"PRJNA379613"	"SAMN06614882"	37299769	"GEO"	"public"	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	"SRX2651363"	"GSM2542066"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5356122"	"GSM2543055"	"singles-20160726-scATAC-BM1137-GMP3high-HYC-63"	"GMP"	"BM1137"	"ATAC-seq"	152	91492904	"PRJNA379613"	"SAMN06615007"	36892337	"GEO"	"public"	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	"SRX2652347"	"GSM2543055"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5355616"	"GSM2542549"	"singles-160818-BM1137-pDC-LS-37"	"pDC"	"BM1137"	"ATAC-seq"	152	61463632	"PRJNA379613"	"SAMN06615508"	22791377	"GEO"	"public"	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	"SRX2651841"	"GSM2542549"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5355086"	"GSM2542014"	"singles-BM1214-GMP-160421-78"	"GMP"	"BM1214"	"ATAC-seq"	152	110460680	"PRJNA379613"	"SAMN06615201"	44820644	"GEO"	"public"	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	"SRX2651311"	"GSM2542014"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5356035"	"GSM2542968"	"singles-160808-scATAC-BM1137-GMP2mid-LS-72"	"GMP"	"BM1137"	"ATAC-seq"	152	112719248	"PRJNA379613"	"SAMN06615129"	45806666	"GEO"	"public"	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	"SRX2652260"	"GSM2542968"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5355212"	"GSM2542145"	"singles-BM0828-MEP-160420-17"	"MEP"	"BM0828"	"ATAC-seq"	152	86567952	"PRJNA379613"	"SAMN06615304"	35390550	"GEO"	"public"	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	"SRX2651437"	"GSM2542145"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5356012"	"GSM2542945"	"singles-160808-scATAC-BM1137-GMP2mid-LS-49"	"GMP"	"BM1137"	"ATAC-seq"	152	64437208	"PRJNA379613"	"SAMN06615178"	25707634	"GEO"	"public"	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	"SRX2652237"	"GSM2542945"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5355961"	"GSM2542894"	"singles-160809-scATAC-BM1137-GMP1low-LS-94"	"GMP"	"BM1137"	"ATAC-seq"	152	105259240	"PRJNA379613"	"SAMN06615859"	43007165	"GEO"	"public"	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	"SRX2652186"	"GSM2542894"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5354241"	"GSM2541163"	"singles-160819-BM1137-CMP-LS-1"	"CMP"	"BM1137"	"ATAC-seq"	152	59401296	"PRJNA379613"	"SAMN06613754"	22163603	"GEO"	"public"	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	"SRX2650466"	"GSM2541163"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5354696"	"GSM2541624"	"singles-20160726-scATAC-BM1214-CMP-LS-72"	"CMP"	"BM1214"	"ATAC-seq"	152	96945752	"PRJNA379613"	"SAMN06614296"	38884007	"GEO"	"public"	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	"SRX2650921"	"GSM2541624"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5354102"	"GSM2541024"	"singles-BM0828-LMPP-frozen-151105-54"	"LMPP"	"BM0828"	"ATAC-seq"	152	93198800	"PRJNA379613"	"SAMN06614708"	35815094	"GEO"	"public"	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	"SRX2650327"	"GSM2541024"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5355155"	"GSM2542083"	"BM1077-MEP-Frozen-160107-51"	"MEP"	"BM1077"	"ATAC-seq"	152	107665248	"PRJNA379613"	"SAMN06614865"	41868996	"GEO"	"public"	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	"SRX2651380"	"GSM2542083"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5354558"	"GSM2541486"	"singles-160822-BM1137-CMP-LS-30"	"CMP"	"BM1137"	"ATAC-seq"	152	68107552	"PRJNA379613"	"SAMN06614632"	25021658	"GEO"	"public"	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	"SRX2650783"	"GSM2541486"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5354845"	"GSM2541773"	"BM1077-GMP-Frozen-160107-29"	"GMP"	"BM1077"	"ATAC-seq"	152	82912048	"PRJNA379613"	"SAMN06616125"	27664282	"GEO"	"public"	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	"SRX2651070"	"GSM2541773"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
